Legal Land Description (W4),Land Use,1st Year (2015) Issue(s),<s>2nd Year (2016) PCRM Assessment and Work Completed</s>,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW-09-076-05,Forested,NLimited Vegetation Establishment (Moderate Issue) oxious and Invasive Weeds  (Moderate Issue),"Aug 4, 2016 – KP 0+000 to 0+450 - Scentless chamomile observed, recommend weed control. Aug 12, 2016 – KP 0+000 to 0+450 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. - 40-50% vegetation established compared to off ROW.  Bare patches of soil and mulch present within tract. - Scentless chamomile observed on adjacent pipeline within corridor. Sept 12, 2016 - KP 0+000 meter station built on gravel pad, no noxious weeds observed within fence line. - 40-50% vegetation established compared to off ROW. - Additional herbicide application conducted to control scentless chamomile.  Issue resolved.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved. - KP 0+100 to 0+600 – Scentless chamomile observed, recommend weed control. Aug 24, 2017 – KP 0+000 to 0+600 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolve.",,,
SW-09-076-05,Forested,Material Left on Right-of-Way (Moderate Issue),Rig mat removed in January 2016.  Issue resolved.,"Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved. - KP 0+100 to 0+600 – Scentless chamomile observed, recommend weed control. Aug 24, 2017 – KP 0+000 to 0+600 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolve.",,,
SE-08-076-05,Forested,LNSubsidence (Moderate Issue) imited Vegetation Establishment (Moderate Issue) oxious and Invasive Weeds  (Moderate Issue),"Aug 12, 2016 - 40-50% vegetation established compared to off ROW.  Bare patches of soil and mulch present within tract. - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.  Sept 12, 2016 - 40-50% vegetation established compared to off ROW. Bare patches of soil and mulch present within tract. - KP 1+030 to 1+130 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile (KP 1+130).  Issue resolved.  - Subsidence issue noted in 2015 is no longer evident.  Issue resolved.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved. - KP 1+000 - Scentless chamomile and perennial sow thistle observed, recommend weed control. - No erosion or subsidence issues.   Aug 24, 2017 – KP 0+640 to 1+420 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 0+610 to 0+810 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
SE-08-076-05,Forested,Uneven Tie-In (Moderate Issue),Uneven tie-in is no longer evident – Issue resolved.,"Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved. - KP 1+000 - Scentless chamomile and perennial sow thistle observed, recommend weed control. - No erosion or subsidence issues.   Aug 24, 2017 – KP 0+640 to 1+420 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 0+610 to 0+810 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
SE-08-076-05,Forested,"Rare Plant – KP 1+100 - Golden saxifrage (S4; Chrysosplenium iowense) was not observed on the right-of-way. Habitat on the right-of-way was characterized as suitable for re-establishment. Due to recent changes to the ACIMS classification – golden saxifrage is no longer considered rare. Additional monitoring committed to in June 24, 2016 NEB IR.","Species not observed at the historically recorded pre-disturbance location. Based on the general habitat requirements of this species, mitigation measures used during construction (i.e. restoration of pre-disturbance contours) are considered effective with respect to restoring hydrology and micro-topography conditions favorable for species re-establishment at this location. Further monitoring at this location is recommended.","Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved. - KP 1+000 - Scentless chamomile and perennial sow thistle observed, recommend weed control. - No erosion or subsidence issues.   Aug 24, 2017 – KP 0+640 to 1+420 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 0+610 to 0+810 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
SE-08-076-05,Forested,Uneven Tie-In (Moderate Issue),Uneven tie-in is no longer evident – Issue resolved.,"Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved. - KP 1+000 - Scentless chamomile and perennial sow thistle observed, recommend weed control. - No erosion or subsidence issues.   Aug 24, 2017 – KP 0+640 to 1+420 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. Sept 16, 2017 - Treed Fen on ROW from KP 0+610 to 0+810 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and sphagnum mosses. Good establishment of hydrophytic vegetation emerging throughout ROW (common cattail, arrowhead). - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. Humification occurring throughout wetland through decomposing vegetation litter. Peat accumulation occurring in areas exceeding 40cm in depth; mottling occurring. - Substrate exhibiting fully saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. - Wetland has achieved pre-construction contours. Black spruce to emerge onto ROW over time as a tertiary successional species. Overall, no net loss of wetland function was observed.",,,
SW-08-076-05,Forested,LNUneven Tie-In (Moderate Issue) imited Vegetation Establishment (Moderate Issue) oxious and Invasive Weeds  (Moderate Issue),"Aug 12, 2016 - 30-50% vegetation established compared to off ROW.  Bare patches of soil and mulch present within tract. - Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile plants observed intermittently throughout tract.  Issue resolved. Sept 12, 2016 - 30-50% vegetation established compared to off ROW.  Bare patches of soil and mulch present within tract. - Additional intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. - Uneven tie-in observed in 2015 is no longer evident.  Issue resolved.","June 29, 2017 – Scentless chamomile (KP 2+420) and perennial sow thistle intermittently observed, recommend weed control. Aug 18, 2017 - Vegetation established at 65-80% of off ROW.  Limited/low vegetation cover issues noted in 2015 and 2016 resolved - No erosion or subsidence issues Aug 24, 2017 – KP 1+460 to 2+250 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved.",,,
,Mineral Wetland (Open Water Pond),None,,"Sept 16, 2017 - Pond on ROW from KP 1+760 to 1+820 appears to be at full functionality. Open water pond is due to beaver activity to the south. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Riparian vegetation establishing well including willows and herbaceous graminoids. Submergent vegetation (milfoil) emerging in standing water areas. - No noxious weeds were identified in wetland.  - Trench crown present through wetland, with the exception of channel crossing, with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. - Substrate exhibiting fully saturated conditions. Depth of water reaching 50cm on ROW. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. Beaver observed in lodge to the south. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Forested,Microtopography Issue (Low Issue),Issue is no longer evident.  Issue resolved.,"Sept 16, 2017 - Pond on ROW from KP 1+760 to 1+820 appears to be at full functionality. Open water pond is due to beaver activity to the south. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Riparian vegetation establishing well including willows and herbaceous graminoids. Submergent vegetation (milfoil) emerging in standing water areas. - No noxious weeds were identified in wetland.  - Trench crown present through wetland, with the exception of channel crossing, with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through uniform vegetation growth and very high moisture retention capabilities. - Substrate exhibiting fully saturated conditions. Depth of water reaching 50cm on ROW. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags. Beaver observed in lodge to the south. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.",,,
,Unnamed Watercourse (WC1),None,"Silt fencing (KP 1+800) removed in October 2015.  Issue resolved. Aug 4, 2016 - Watercourse 1 riparian buffers are stable and well vegetated, revetments are in good condition. - Remaining silt fencing is no longer required, vegetation is providing adequate sediment control.  Remove as soon as practical. Aug 12, 2016 - Creek banks are stable and well vegetated; revetments and straw matting on the slopes are in place. - Remaining silt fencing was removed, issue resolved.",No issues noted,,,
