Environmental Issue/ Concern,Location,Current Status,Recommendations/ Schedule,VEC,GIS,Topic
New pipeline in Alberta  Trench subsidence,Approx. 90 sites in 110 km section between;  Section 2-31-4-W4 and  Section 34-22-4-W4.,"The total area within the 110 km section is approx. 1.8 ha.  Typical areas are 20m in length, 2-3 m wide and < 0.3m deep.","Deficiencies are corrected by stripping back topsoil and feathering in subsoil, or if very small or possibly in pasture/ native range, acceptable topsoil sources are secured and used to fill-in trench subsidence.  Spring thru Fall 2011",,,
New pipeline in Manitoba  Trench subsidence and overall drainage around station,NE 13-9-5-WP Adjacent to Elm Creek Pigging Station,Unable to complete work in 2010 due to very wet conditions,"Complete in 2011, as part of repairing  drainage issue around the Elm Creek Pigging Station",,,
New pipeline in Manitoba  Berm along drainage ditch adjacent to road,SE 36-7-5 WPM,Work completed in July 2010 as part of Post-Construction Monitoring,Monitor in 2011 to ensure integrity of berm is maintained.,,,
New pipeline in Manitoba  Drainage adjacent to MLV Carman 49+200,SE 23-3-5-WPM,Work completed in November 2010 as part of Post-Construction Monitoring,Monitor in 2011 to ensure drainage around valve site is maintained.,,,
New pipeline in Manitoba  Potential land levelling,"Areas on numerous tracts.  Sizes ranging from 5 m length to 200 m length, and 5 m wide to full width of ROW.","2010 helicopter reconnaissance with video capability, some ground recon, as well as discussions with landowners noted inconsistencies in contours across the ROW. Land levelling completed in a few locations in 2010.","Keystone to consult further with affected landowners in 2011 to address inconsistencies in contours across the ROW, either through land levelling or normal cultivation practices.",,,
New pipeline in Alberta  Native Vegetation establishment,Monitor  31+000,Year 1 Post-Construction Monitoring indicates acceptable re-growth,Continue to monitor in 2011 to determine if additional remediation (re-seed) is required.  Trench subsidence and weed monitoring also required in general area.,,,
New pipeline in Alberta  Native Vegetation establishment,Bindloss  20+000 to 20+420 SW 21-21-1-W4,"Monitoring.  Year one PCRM indicates very good native species germination and ground cover.  Other than deficiency as noted in September 8, 2010 record, ground is fully stabilized.","Continue to monitor in 2011 to assess germination in areas noted as being deficient in September 2010, and assess revegetation success.",,,
New pipeline in Alberta Bank contouring,Sounding Creek,"Banks are stable, some minor slumping to be further assessed to determine if re-work and stabilizing bank is warranted","Late summer-fall 2011, if work required",,,
New pipeline in Alberta  Shrub Planting,Ribstone Creek,Work not completed in 2010.,Plant Manitoba Maple and Chokecherry on banks.  Complete work during 2011 growing season,,,
Site Erosion Control / Reclamation Measures,Hardisty Tank Terminal  PS 5 – Hardisty  NW-29-42-9-W4,"•  Pre-construction design drawings included provisions for site drainage controls.  During construction, drainage controls were evaluated and some modified but preserve the integrity of the original drainage design for the site.","•  When conditions permit in Spring 2011, a civil design assessment will be conducted to assess current drainage maintenance and correct, if required.",,,
Site Erosion Control / Reclamation Measures,PS 6 Lakesend  NE-28-38-8-W4,•  Perimeter slope grading and stabilization was conducted with the exception of a portion in the northeast corner of the site due to the planned installation of a second Static VAR Compensator. •  Portion of stormwater drainage swale was not fully completed due to the planned installation of a second Static VAR Compensator.,"•  Complete re-grading of perimeter slope and stabilization when conditions permit in Spring 2011. •  Complete stormwater drainage swale when conditions permit in Spring 2011.  Strip granular, re-construct swale and replace granular.",,,
Site Erosion Control / Reclamation Measures,PS 7 Monitor  SW-23-34-5-W4,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 8 Oyen  NE-20-28-4-W4,•  Containment ditch overflow requires modification.,•  Modify containment ditch overflow to correct elevation when conditions permit in Spring 2011.,,,
Site Erosion Control / Reclamation Measures,PS 9 Bindloss  NW-10-22-3-W4,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 11 Cabri (co-located) SW-16-19-23-W3,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 13  Herbert (co-located) NW-22-18-10-W3,•  Year one post-construction monitoring indicates lack of growth and the presence of some undesirable vegetation on the permanent topsoil stockpile and the reclaimed area south of the E-house/ substation.,"•  Seeding of the topsoil stockpile and area south of the E-house/substation to be completed in the Spring of 2011, subject to weather conditions.",,,
Site Erosion Control / Reclamation Measures,PS 15 Caron (co-located) NE-36-17-29-W2,"•  Due to extremely wet conditions in Spring and Summer 2010, there were delays in the construction schedule. Therefore, some incorrect grading for site drainage could not be rectified by re-grading until the Fall of 2010 . The drainage grading now meets the intent of the site drainage plan.","•  Conduct assessment when conditions permit in Spring 2011 to confirm site drainage is working properly, and make adjustments as required.",,,
Site Erosion Control / Reclamation Measures,PS 17 Regina (co-located) NE-34-16-18-W2,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 18 Kendal  NW-10-16-13-W2,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 19 Grenfell (co-located) SE-30-15-7-W2,•  A planned clean stormwater drainage ditch along east limit of site was not constructed due to the presence of a slurry pit temporarily located in the area for the planned ditch.,"•  When conditions permit in Spring 2011, the slurry pit will be reclaimed and the surface drainage ditch will be constructed along the east side of the site.",,,
Site Erosion Control / Reclamation Measures,PS 21 Moosomin (co-located) NW-23-14-30-W1,"Due to extreme wet conditions throughout 2010, there were delays in some construction activities including the following: Containment swale liner not • secured into the top of bank; Laydown area south of pump • station has not been fully reclaimed; Pond overflow elevation needs to • be confirmed.","•  Liner to be excavated and re-secured when conditions permit in the Spring of 2011. •  Reclaim laydown area south of pump station.  Cleanup, replace topsoil and re-seed when conditions permit in the Spring of 2011. •  When conditions permit in Spring 2011, assess elevations and undertake necessary work to ensure overflow is at correct elevation.",,,
Site Erosion Control / Reclamation Measures,PS 23 Rapid City (co-located) NW-3-13-19-W1,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 25 Portage La Prairie (co-located) NE-8-11-8-W1,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 26 Carman (MB) SE-1-8-5-W1,•  Scope of work complete.,•  No work required,,,
Site Erosion Control / Reclamation Measures,PS 27 Haskett (MB) NE-24-1-5-W1,"Due to extreme wet conditions throughout 2010, there were delays in some construction activities including the following: Unable to install culvert along • access road; Site drainage to be assessed in • Spring 2011; Containment swale extends • beyond fenceline and drain control valve is also located outside the present fenceline; Unable to install rip rap and • geotech at culvert outlet of the containment swale.","When conditions permit in Spring 2011, the following will be completed: Install culvert at road approach; • •  Assess elevations and undertake necessary work to ensure proper drainage. •  Extend chainlink fence to include containment swale and drain control valve. Install rip rap and geotech at culvert • outlet of containment swale.",,,
Conversion  Site contours,SW 7-20-28-W3 Dig 7  MLV 2 (7+482.469),Some soil re-contouring and seeding,Re-contour soil and seed - Spring thru Fall 2011,,,
Conversion  Site contours,NW 34-19-26-W3 MLV 3,Electrical Trench sinkage - requires re-contouring.,Re-contour soil - Spring thru Fall 2011,,,
Conversion  Site contours,SW 34-19-25-W3 Liebenthal MS 9+850,Electrical Trench sinkage - requires re-contouring.,Re-contour soil - Spring thru Fall 2011.,,,
Conversion  Site contours,SW 27-19-23-W3 MLV 4,Electrical Trench sinkage - requires re-contouring.,Re-contour soil - Spring thru Fall 2011,,,
Conversion  Site contours,SW 1-19-18-W3 Dig 60  MLV 5 (23+786.377),Some soil re-contouring,Re-contour soil - Spring thru Fall 2011.,,,
Conversion  Site contours,SE 1-19-18-W3 MLV 6,Ruts around site to be repaired - Top soil may be required for clean up.,Repair ruts around site – haul in top soil if required for clean up - Spring thru Fall 2011.,,,
