,0,1
0,status,73
1,land use,72
2,vec,71
3,gis,71
4,topic,71
5,location,67
6,environmental issue,61
7,recommendation,59
8,legal location,47
9,note,46
10,2nd year (2014) pcrm assessment and work complete,23
11,kp,22
12,issue,20
13,1st year issue/ condition,19
14,current status 2011,19
15,environmental issue/ concern,18
16,current status 2012,18
17,1st year (2013) issue,17
18,legal location (w4m),16
19,current status 2013,16
20,current status 2010,15
21,recommend measure to resolve issue and schedule,15
22,3rd year (2015) pcrm assessment and work complete,14
23,1st year (2014) issue,14
24,4th year (2016) pcrm assessment and work complete,13
25,potential adverse environmental effect,13
26,3rd year (2016) pcrm assessment and work complete,13
27,legal land description,13
28,legal location (w6m),13
29,approximate kp,13
30,alignment sheet,13
31,outstanding issue,12
32,observation in 2010,12
33,current status 2014,12
34,issue / condition,11
35,5th year (2017) pcrm assessment and work complete,11
36,2015 pcrm assessment and work complete,11
37,propose schedule,10
38,biophysical element,10
39,potential adverse effect,9
40,propose mitigation,9
41,propose post - construction measure,9
42,propose action and schedule,8
43,4th year (2017) pcrm assessment and work complete,8
44,mitigative measure implement,8
45,tera observation in 2012,8
46,observation in 2011,8
47,current status 2015,8
48,condition/ issue note (rating),7
49,5th year (2018) pcrm assessment and work complete,7
50,vegetation issue,7
51,soil issue,7
52,1st year (2013) issue / condition,6
53,2nd year (2015) pcrm assessment and work complete,6
54,kp range,6
55,legal land description (w6m),6
56,mitigative measure and observation in 2013,6
57,2013 recommendation,6
58,legal location (w6),6
59,2014 pcrm assessment and work complete,6
60,environmental issue / concern,5
61,legal land description (w6m) and kilometre post (kp),5
62,mitigative measure and observation in 2009,5
63,2016 pcrm assessment and work complete,5
64,pump station/ legal location,5
65,tract nos .,5
66,propose 2008 post - construction measure,5
67,tract number,5
68,comment,5
69,legal location (w5m),4
70,approximate kp [ legal location ],4
71,2013 pcmp recommendation,4
72,recommendations/ schedule for 2014,4
73,1st year (2013) discussion,4
74,plot,4
75,coordinate,4
76,specie,4
77,size,4
78,qty,4
79,additional comment,4
80,legal location / site,4
81,recommendations/ schedule for 2016,4
82,condition / issue note (rating),4
83,current status 2016,4
84,assessed location,4
85,tract no .,4
86,2014 recommendation,4
87,2nd year (2016) pcrm assessment and work complete,3
88,propose 2009 post - construction measure,3
89,land use1,3
90,mitigative measure implemented1,3
91,observation / comment,3
92,,3
93,location (kp),3
94,observation note,3
95,corrective action recommend,3
96,vegetation type,3
97,mitigative measure and observation in 2008,3
98,status (2013),3
99,2015 assessment comment,3
100,tera observation in 2013,3
101,2013 pcrm assessment and work complete,3
102,mitigative measure recommend / implemented and observational history1,3
103,recommendations/ schedule for 2017,3
104,identify issue,3
105,recommendations/ schedule for 2015,3
106,2012 recommendation,3
107,approx . kp,3
108,repair to date,3
109,"repair to date (2010,2011,2012)",3
110,1st year (2013) note,3
111,overall health,3
112,current status,3
113,land description,3
114,2013 issue / condition,3
115,repair to date (2010and2011),3
116,mitigative measure and observation,3
117,recommend mitigation measure,2
118,outstanding issue / incident,2
119,status 2015,2
120,status 2016,2
121,alignment sheet no .,2
122,post - construction restoration measure complete,2
123,2012 issue,2
124,2012 note,2
125,land description (w4m),2
126,kilometer post (kp),2
127,kp2,2
128,1st year (2013) pcmp recommendation,2
129,first year issue/ condition,2
130,first year (2014) issue,2
131,location range,2
132,prior observation (source),2
133,2013 tera observation,2
134,2015 assessment,2
