tableId,rowIndex,rowCounter,status_txt,predicted_prob,predicted_status_code,predicted_status_label,unresolved_probability,resolved_probability
02db9f91-572a-44af-9858-4add101353c1,1,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9811199  0.01888014],0,Unresolved,0.9811199,0.018880144
02db9f91-572a-44af-9858-4add101353c1,1,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.12334013 0.8766598 ],1,Resolved,0.12334013,0.8766598
02db9f91-572a-44af-9858-4add101353c1,1,3,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.67395425 0.32604575],0,Unresolved,0.67395425,0.32604575
02db9f91-572a-44af-9858-4add101353c1,1,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",[0.7411269  0.25887313],0,Unresolved,0.7411269,0.25887313
02db9f91-572a-44af-9858-4add101353c1,1,5,"July 13, 2016  - No erosion or subsidence issues.",[0.22900935 0.7709906 ],1,Resolved,0.22900935,0.7709906
02db9f91-572a-44af-9858-4add101353c1,1,6,"July 13, 2016  - KP 0+300- Marker posts and sign down.",[0.80760366 0.1923964 ],0,Unresolved,0.80760366,0.1923964
02db9f91-572a-44af-9858-4add101353c1,1,7,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",[0.9023354  0.09766466],0,Unresolved,0.9023354,0.09766466
02db9f91-572a-44af-9858-4add101353c1,1,8,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter.",[0.67318594 0.3268141 ],0,Unresolved,0.67318594,0.3268141
02db9f91-572a-44af-9858-4add101353c1,1,9,"July 13, 2016   - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved.",[0.45042306 0.549577  ],1,Resolved,0.45042306,0.549577
02db9f91-572a-44af-9858-4add101353c1,1,10,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",[0.7789352  0.22106478],0,Unresolved,0.7789352,0.22106478
02db9f91-572a-44af-9858-4add101353c1,1,11,"Sept 17, 2016  - Installed TC sign and marker posts at KP 0+040.",[0.9244605  0.07553951],0,Unresolved,0.9244605,0.075539514
02db9f91-572a-44af-9858-4add101353c1,1,12,"Sept 17, 2016  - Re-installed marker posts at KP 0+300, issue resolved.",[0.974542   0.02545802],0,Unresolved,0.974542,0.025458016
02db9f91-572a-44af-9858-4add101353c1,1,13,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",[0.9166226  0.08337741],0,Unresolved,0.9166226,0.08337741
02db9f91-572a-44af-9858-4add101353c1,2,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",[0.9778006  0.02219943],0,Unresolved,0.9778006,0.02219943
02db9f91-572a-44af-9858-4add101353c1,2,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",[0.1345844 0.8654156],1,Resolved,0.1345844,0.8654156
02db9f91-572a-44af-9858-4add101353c1,2,3,"July 13, 2016  - Cross drains are vegetated and functioning.",[0.65626764 0.34373248],0,Unresolved,0.65626764,0.34373248
02db9f91-572a-44af-9858-4add101353c1,2,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",[0.7671924  0.23280749],0,Unresolved,0.7671924,0.23280749
02db9f91-572a-44af-9858-4add101353c1,2,5,"July 13, 2016  - No erosion or subsidence issues.",[0.24653272 0.75346726],1,Resolved,0.24653272,0.75346726
02db9f91-572a-44af-9858-4add101353c1,2,6,"July 13, 2016  - KP 0+300- Marker posts and sign down.",[0.82239664 0.17760338],0,Unresolved,0.82239664,0.17760338
