,tableId,rowIndex,issue_pri,issue_sec
0,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,1,Compaction,‐‐‐
1,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,2,Contouring_1,‐‐‐
2,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,3,Subsidence_1,‐‐‐
3,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,4,Vegetation establishment_1,‐‐‐
4,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,5,Compaction,‐‐‐
5,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,6,Subsidence_1,‐‐‐
6,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,7,Contouring_1,‐‐‐
7,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,8,Contouring_2,‐‐‐
8,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,9,Subsidence_1,Subsidence_1
9,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,10,Vegetation establishment_1,‐‐‐
10,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,11,Admixing_1,‐‐‐
11,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,12,Vegetation establishment_1,‐‐‐
12,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,13,Vegetation establishment_1,‐‐‐
13,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,14,"Erosion (wind, water)_2",‐‐‐
14,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,15,Vegetation establishment_1,‐‐‐
15,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,16,Vegetation establishment_1,‐‐‐
16,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,17,Vegetation establishment_1,‐‐‐
17,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,18,Vegetation establishment_1,‐‐‐
18,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,19,"Erosion (wind, water)_1",‐‐‐
19,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,20,Incomplete PCEM assessment,‐‐‐
20,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,21,"Erosion (wind, water)_2",‐‐‐
21,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,22,Contouring_1,‐‐‐
22,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,23,Vegetation establishment_1,‐‐‐
23,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,24,Contouring_1,‐‐‐
24,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,25,"Erosion (wind, water)_1",‐‐‐
25,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,26,"Erosion (wind, water)_1",‐‐‐
26,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,27,Contouring_1,‐‐‐
27,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,28,"Erosion (wind, water)_1",‐‐‐
28,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,29,Incomplete PCEM assessment,‐‐‐
29,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,30,Contouring_2,‐‐‐
30,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,31,"Erosion (wind, water)_1",‐‐‐
31,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,32,Vegetation establishment_1,‐‐‐
32,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,33,Incomplete PCEM assessment,‐‐‐
33,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,34,Compaction,‐‐‐
34,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,35,Vegetation establishment_1,‐‐‐
35,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,36,Incomplete PCEM assessment,‐‐‐
36,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,37,Compaction,‐‐‐
37,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,38,"Erosion (wind, water)_1",‐‐‐
38,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,39,Incomplete PCEM assessment,‐‐‐
39,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,40,Vegetation establishment_1,‐‐‐
40,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,41,Admixing_1,‐‐‐
41,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,42,Compaction,‐‐‐
42,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,43,Admixing_2,‐‐‐
43,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,44,Admixing_1,‐‐‐
44,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,45,Contouring_1,‐‐‐
45,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,46,"Erosion (wind, water)_1",‐‐‐
46,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,47,Incomplete PCEM assessment,‐‐‐
47,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,48,Incomplete PCEM assessment,‐‐‐
48,3e1c53b4-5c01-46e2-bd72-5a338b5852f9,49,Incomplete PCEM assessment,‐‐‐
