tableId,rowIndex,rowCounter,status_bin,status_txt,status,unresolved_prob,resolved_prob,status_code,Id,predicted_prob,predicted_status_code,predicted_status_label
0114daa6-c048-4081-b4cf-7a9d7461fa44,10,,<s>Resolved </s>–repaired in August 2017,Repair and monitor in 2018.,Unresolved,0.9929403,0.007059719,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,11,,<s>Resolved </s>–repaired in August 2017,Repair and monitor in 2018.,Unresolved,0.98791146,0.012088523,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,12,,<s>Resolved </s>–repaired in August 2017,Repair and monitor in 2018.,Unresolved,0.99382186,0.0061781480000000005,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,20,,<s>Resolved </s>–repaired in August 2017,Monitor in 2018 and repair erosion,Unresolved,0.99010336,0.00989671,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,21,,No issue,<s>None </s>–<s> pipeline was </s>directionally drilled and had no impact on the vegetation.,Resolved,0.0037530605,0.9962469,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,38,,Resolved –  repaired in August 2017,Repair erosion and monitor in 2018. Normal farming practices will control weeds.,Unresolved,0.9856867,0.01431325,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,39,,Resolved –  repaired in August 2017,Repair and monitor in 2018.,Unresolved,0.99048483,0.009515236,,,,,
0114daa6-c048-4081-b4cf-7a9d7461fa44,41,,Resolved –  repaired in August 2017,Monitor in 2018.,Unresolved,0.9912065999999999,0.008793371999999999,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,1,,,No remedial action is required.,Resolved,0.0007495044,0.9992504999999999,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,2,,,"Place 40 yrds topsoil, grade and seed.  Will monitor and water as required.",Unresolved,0.98913074,0.010869268999999999,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,3,,,The source of the leak is the river water makeup line going to the NOVA Corunna Site. Repairs to stop this leak will require a Plant outage to repair (scheduled for Q2 2017).  – No further action at this time.,Resolved,0.0044339006,0.99556607,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,4,,,No remedial action is required.,Resolved,0.0007683153,0.9992317,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,5,,,No remedial action is required.,Resolved,0.0007662883,0.9992337,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,6,,,No remedial action is required.,Resolved,0.0006955274000000001,0.9993044,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,7,,,Place 100yrd of topsoil and dump at a location appropriate for tenant farmer.,Unresolved,0.8501315,0.14986849,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,8,,,See RR Line to Hydro One Lane. Tenant farmer will address using a portion of the 100yrd topsoil.,Unresolved,0.93548906,0.06451098,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,9,,,No remedial action is required.,Resolved,0.0008526177000000001,0.9991474,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,10,,,No remedial action is required.,Resolved,0.0008487342,0.99915123,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,11,,,Pre-construction photographs and discussions with the tenant former indicate that the condition is not related to the construction of the pipeline. No further remedial action is required.,Resolved,0.0013793123999999999,0.99862075,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,12,,,No remedial action is required.,Resolved,0.00081098895,0.99918896,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,13,,,No remedial action is required.,Resolved,0.0010499125,0.99895006,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,14,,,No remedial action is required.,Resolved,0.0010427634,0.9989573,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,15,,,No remedial action is required.,Resolved,0.0008100115,0.99919003,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,16,,,This area has been re-graded and stone was also laid in that area.,Resolved,0.02084735,0.9791525999999999,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,17,,,No remedial action is required.,Resolved,0.0007994237,0.99920064,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,18,,,"Use of the CSX access road is for others"".  Damaged caused by others",Resolved,0.033830885,0.9661690999999999,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,19,,,No remedial action is required.,Resolved,0.0008069420599999999,0.999193,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,20,,,No remedial action is required.,Resolved,0.0007985379,0.9992015,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,21,,,No remedial action is required.,Resolved,0.0006108017,0.9993892,,,,,
093f120b-9df7-480b-8ae3-2854a3b33c84,22,,,"Place 25yrds of topsoil, grade and hydro-seed all three areas.",Unresolved,0.92899424,0.071005724,,,,,
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,1,,,• Results of the 2017 assessment indicated that the Awned Wheatgrass seeded in 2016 was not successful. The assessment also noted that there was no observable increase in Prairie Sandreed grass. This location and related information will be transferred to Keystone Regional Operations for continued engagement with the Occupant and Special Areas Board members and to create a path forward if there are continued concerns regarding the site.  •  Issue resolved.,Resolved,0.005729858000000001,0.9942700999999999,,,,,
