tableId,status_txt_pattern
02db9f91-572a-44af-9858-4add101353c1,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
03bfc26a-c6d0-4761-b8f5-47acf2290d02,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
082134c0-6a4b-425b-a4ae-e79acd7316cb,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
0d10a967-88d6-42e5-9bd7-309f24022b5f,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
333e1e53-8897-41fa-acbd-86be8afb31c7,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
35bd2caf-562c-4d14-a5d6-373f168b4acb,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
397db969-9996-4d9e-bb05-6df69d0fe4a4,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
417546c4-dacf-4c12-ae75-4dc4e656e198,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
491c36c1-82d4-46ae-a684-470915a5659b,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
60b3993d-7075-4790-8519-ba8193579754,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
64a7ba33-ceee-4593-87a3-8f08dd46c8f4,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
67691780-af41-414b-a0c2-aa33a3442cdc,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
6a2f1370-1cd5-4ebb-a4bd-a1fe9d5a516a,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
6b437f67-967b-4ef6-bd28-5ac8d39138e4,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
77cc0b8d-8244-4622-8d9d-a56daf6069e8,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
8bb683d9-f7ee-4a54-ad3d-dddc61ccdfcf,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
9476acc2-294a-4cd6-a952-8274aedb645a,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
a6623233-9c9f-436b-ad11-0987ab3825e7,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
c04807de-2df1-4d26-9352-70d3cb6cb10b,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
cb197d7e-3ef6-4ee0-93d1-504c7286b580,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
f143c6b8-cf77-41c1-88b2-e7c97ba657c1,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
f2ebd484-4ec2-4481-907d-17334ca4657f,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
f4db9fc5-3a73-499a-ab1e-ab643530ea99,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
fdb3d057-943a-4fab-99ac-1f4eed471512,"[Date] [hyphen] [Enumeration of issues][full stop]
[full stop] [hyphen] [Enumeration of issues][full stop]"
