,tableId,rowIndex,vec_pri,vec_sec,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,threshold,VECs
0,0114daa6-c048-4081-b4cf-7a9d7461fa44,1,Erosion and Surface Drainage (Low),,0,0,1,0,0,0,0,0,1,0,0,0,0,water
0,0114daa6-c048-4081-b4cf-7a9d7461fa44,1,Erosion and Surface Drainage (Low),,0,0,1,0,0,0,0,0,1,0,0,0,0,physical
1,0114daa6-c048-4081-b4cf-7a9d7461fa44,2,Weeds (Moderate),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
2,0114daa6-c048-4081-b4cf-7a9d7461fa44,3,Erosion (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
3,0114daa6-c048-4081-b4cf-7a9d7461fa44,4,Plant Growth and Weeds (Moderate),,0,3,0,0,0,0,0,0,0,0,0,0,0,vegetation
4,0114daa6-c048-4081-b4cf-7a9d7461fa44,5,Erosion (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
5,0114daa6-c048-4081-b4cf-7a9d7461fa44,6,Weeds (Low),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
6,0114daa6-c048-4081-b4cf-7a9d7461fa44,7,Weeds (Moderate),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
7,0114daa6-c048-4081-b4cf-7a9d7461fa44,8,Plant Growth (Moderate),,0,2,0,0,0,0,0,0,0,0,0,0,0,vegetation
8,0114daa6-c048-4081-b4cf-7a9d7461fa44,9,Weeds (Moderate),,0,1,0,0,0,0,0,0,0,0,0,0,0,vegetation
9,0114daa6-c048-4081-b4cf-7a9d7461fa44,10,Subsidence (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
10,0114daa6-c048-4081-b4cf-7a9d7461fa44,11,Subsidence (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
11,0114daa6-c048-4081-b4cf-7a9d7461fa44,12,Subsidence (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
12,0114daa6-c048-4081-b4cf-7a9d7461fa44,13,Subsidence (Moderate),,0,0,0,0,0,0,0,0,1,0,0,0,0,physical
13,0114daa6-c048-4081-b4cf-7a9d7461fa44,14,<s>Watercourse </s>–Tributary of Rainbow Creek – Erosion (Moderate),,0,0,0,0,0,0,0,0,1,2,0,0,0,physical
