vec,filing_manual_text
soil,"Describe general soil characteristics and the current level of disturbance associated with soils.

2. For agricultural lands or forested lands with agricultural capability, describe:

the soil classification, including the order, group, family, series and type of soil prior to construction, and quantify the soil classification;
the productivity of land and the type of agricultural resource;
the soil types in the study area highly susceptible to:
wind and water erosion;
soil compaction; and
loss of structure and tilth;
any other soil types needing specific management or mitigation measures; and
soil conservation and protection measures.
3. Describe any contaminants of concern potentially associated with the project that may affect soil.

4. Describe the historical land use and the potential for contamination of soils or sediments. Describe any known or suspected soil contamination within the study area that could be re-suspended, released or otherwise disturbed as a result of the project.

5. If sediments or soils are contaminated, describe the applicable regulatory standards and all remediation, mitigation and monitoring measures that will be undertaken.

6. Describe the criteria for evaluating reclamation success. Explain how this evaluation would be undertaken and documented. Reclamation measures could include:

erosion control, other than re-vegetation;
soil reclamation;
drainage tile repair;
soil compaction alleviation; and
soil salinity reduction.
7. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. Soil profile descriptions for dominant soil types must consider:

soil horizons;
thickness of horizons;
texture;
colour;
chemical properties; and
organic content.
The soils assessment and mitigative plan must consider:

soil salvage techniques (e.g., soil stripping, including proposed width, grubbing, and alternative soil handling techniques);
soil separation maintenance measures;
erosion control measures, including drawings of proposed techniques, particularly at watercourse crossings;
wind erosion and wet soil shutdown procedures; and
soil compaction prevention measures.
Where there is a potential for human health effects, see Table A-3.

Where soil contamination may be present, consider the guidance provided in the Canadian Standards Association’s (CSA) Z768-01 and Z769-00 standards for Phase I and II Environmental Site Assessments. In addition, the CER’s Remediation Process Guide (2011) may also be of value.

Additional guidance:

The Canadian Soil Information Service (under Agriculture and Agri-Food Canada) provides access to soils information, including the Canadian System of Soil Classification, which describes current accepted standards for soil classification in Canada.
The Canadian Council of Ministers of the Environment (CCME) Canadian Environmental Quality Guidelines (including Soil Quality)."
vegetation,"For lands where vegetation may be affected by the project, describe:

the pre-project diversity, relative abundance and distribution of vegetation species and communities of ecological, economic or human importance (e.g., traditional use, tame pasture, native prairie, wetland or old growth);
the conservation status applicable to any particular species or communities;
the current level of disturbance associated with vegetation; and
the amount, merchantability and location of any merchantable timber to be removed during project construction.
2. Describe any weed infestations and other invasive and introduced species of concern.

3. Describe re-vegetation procedures to be implemented as part of the project, including:

re-vegetation techniques and the locations where they would be implemented;
seed mixes to be used, their application rates, and the locations for their application, or the criteria for determining these specifications, and a discussion of the use of seed certificates;
any fertilizers to be used, their application rates and locations, or the criteria for determining these specifications; and
contingency planting and seeding plans that include a description of any species of vegetation to be replanted, the locations for replanting, or the criteria for determining these specifications.
4. Describe the condition(s) to which the RoW and temporary work space will be reclaimed and maintained once construction has been completed. Explain the extent to which the ROW needs to be kept cleared or could be left to grow and provide the criteria relied on to determine this.

5. Describe the vegetation standards and controls to be implemented while constructing and operating the project. Describe any integrated vegetation management program, including:

the criteria and circumstances for applying chemical, biological or mechanical control methods;
the selection of plant species to be kept and planted to promote naturally low growing plant communities; and
the use of herbicides, tree growth regulators or other chemicals, their application rates and protocols.
6. Describe criteria for evaluating reclamation success related to vegetation and how this evaluation would be undertaken and documented.

7. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. The description of vegetated lands does not include industrial lands.

Vegetation community descriptions must apply the most relevant and up to date ecological classification or mapping system. Reference any available provincial or territorial inventory and mapping standards and guidelines.

Engagement with potentially affected Indigenous communities may provide further information. Conservation status (provincial and COSEWIC) of ecological communities as well as plant species must be noted.

Explain how communities in the study area were delineated (i.e., existing mapping, remote sensing interpretation, or field mapping).

Indicate the date of spatial data collection.

Provide justification if field work was not carried out.

The effects analysis on vegetation must consider:

change in vegetation cover caused by the project;
alternatives to clearing the entire ROW (include options and decision criteria for retaining vegetation in order to break lines of sight, control access, maintain wildlife corridors, maintain habitat connectivity, reduce fragmentation and reducing overall cumulative effects)
weed control measures (e.g., prevention, treatment);
avoidance of any sensitive or rare communities and important individuals (e.g., vegetation important to wildlife); and
seed mixes and replanting for re-vegetation purposes.
Native and indigenous species adapted to local conditions should be used when the goal of revegetation is to naturalize or regenerate the area.

Vegetation control programs, including the frequency of work, monitoring and inspection of RoW vegetation conditions, and control procedures, must consider:

the nature of the vegetation cover (e.g., species mix, characteristics) occurring along the RoW, and variations over different biogeographical areas;
the promotion or inhibition of different plant communities (naturally low or slow growing plant species versus predominantly tall or fast growing species); and
the application of other integrated vegetation management practices.
If herbicides or other chemicals may be used, consider:

the criteria for their use;
the concentrations, rates and methods of application;
their specificity and potential adverse environmental effects; and
referring to material safety data sheets."
water,"Provide a project-specific water use assessment identifying and describing the water resources and the quality of those resources potentially affected by the project, including: any need for water withdrawn from local waterbodies, the purpose, the quantities required, the waterbodies used as a supply source, the flow rate or volume of water available in the waterbody and how and where waste water would be discharged.

2. Describe any interactions between the project and groundwater. Where there is an interaction:

describe any potential changes in groundwater flows and any subsequent effects from the changes; and
identify any wells nearby, providing criteria for the spatial boundary considered, and describe the potential for well water quantity and quality to be affected.
3. Describe any contaminants potentially associated with the project that may affect water quality.

4. Describe mitigation for any potential effects on surface-, ground- or well-water quantity and quality, including the need for any specific pre- and post-construction monitoring.

5. Describe any applicable water management plans.

6. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. The effects analysis regarding quality or quantity of ground or surface water (e.g., lakes, watercourses, riparian areas, or man-made water bodies or structures) must consider:

withdrawal or discharge needs for the proposed project; and
any potential inter-basin transfers that might introduce undesirable biota.
In addition to meeting the requirements of s. 24 of the OPR by obtaining permits for hydrostatic testing, applicants must consider hydrostatic test water needs and management in its environmental effects assessment. Where the final details of hydrostatic testing have yet to be confirmed, applicants must still identify their expected needs, options available to them and the criteria they intend to apply to ensure protection of water resources.

Applicants may identify any alternative sources of water (e.g., recycled or brackish water) for the project. Also consider the potential to reuse test water from section to section for pipe testing.

Project interactions with groundwater may result from crossing a shallow water table or specific project activities (e.g., blasting). In these cases, consider the spatial extent and depth levels as well as water characteristics (e.g., salinity).

Consider and describe whether the project may affect evaporation and transpiration rates and therefore affect surface land use, especially in agricultural areas.

If there is potential for contaminants affecting water resources, consider sediment or groundwater sampling for assessment of contaminants.

Where there is a potential for human health effects, see Table A-3.

Additional guidance:

The CCME’s Canadian Environmental Quality Guidelines (including Water Quality).
Health Canada’s Drinking Water Quality."
fish,"Identify fish species and their life stages in the study area, as well as their contribution to local fisheries or to ecological importance.

2. Describe the seasonal ranges, seasonal sensitive periods, habitat use, movements, and general population status of fish species identified above.

3. Identify any fisheries avoidance measures, mitigation, or other measures to protect and enhance fish and fish habitat, including protected areas in and near the study area.

4. Identify the need for an authorization under s. 35(2) (b) of the Fisheries Act for the harmful alteration, disruption of fish habitat.

5. Describe, in detail, sensitive areas and sensitive habitats, including wetlands and riparian habitat.

6. Where fish-bearing watercourses would not be crossed by trenchless methods, either describe and justify the watercourse-crossing techniques to be used or the criteria for determining the techniques proposed for each watercourse crossing.

7. Describe the timing of any instream work, including restricted activity periods and windows.

8. Describe the conditions to which the watercrossings and riparian zones would be reclaimed and maintained once construction has been completed.

9. Describe criteria for evaluating success of reclamation of fish-bearing water bodies and their banks, as well as riparian areas. Describe how and when this evaluation would be undertaken and documented.

10. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. Applicants should work with the relevant provincial or territorial fisheries authorities to identify issues and appropriate mitigative measures, and where appropriate, Indigenous communities.

Where an authorization is required from DFO, outline any appropriate offsetting and monitoring.

Where effects on fish and fish habitat may affect human health, see Table A-3.

DFO has several guidance documents and information pieces that could be useful in dealing with fish and fish habitat. Please refer to the DFO National website for applicable materials and guidance.

The document Pipeline Associated Watercourse Crossings (5th Edition) – endorsed by DFO – provides guidance on best practices and meeting regulatory requirements. This document may be obtained through the CER, the Canadian Association of Petroleum Producers (CAPP), the Canadian Energy Pipeline Association (CEPA) or the Canadian Gas Association (CGA)."
wildlife,"Identify wildlife species of ecological, economic or human importance in the study area. Also describe the:

diversity, distribution and location;
abundance and population status;
life cycle;
seasonal ranges (e.g., migration);
habitat requirements;
movements (e.g., wildlife corridors); and
sensitive periods (e.g., seasonal, diurnal and nocturnal).
2. For the wildlife identified above, describe and quantify the habitat type, including its:

function;
location;
suitability;
structure;
diversity;
relative use; and
abundance as it exists prior to project construction.
3. Describe any lands in the study area that might constitute sensitive areas and habitat for wildlife, or nearby environmentally-significant areas, such as National Parks, areas of natural or scientific interest, Migratory Bird Sanctuaries or other important bird areas or sanctuaries, National Wildlife Areas, or World Biosphere Reserves.

4. Identify wildlife management areas and established or proposed sanctuaries or other areas in or near the study area.

5. Describe the levels of disturbance currently affecting wildlife and habitat, such as habitat fragmentation and the extent of human access and use.

6. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate.

7. Further, with respect to cumulative effects:

Describe the cumulative disturbance footprint of proposed and future physical facilities and activities within known key habitats (e.g., migration corridors, denning or calving areas, feeding areas) and distribution of that footprint, quantitatively where possible. Describe the effects on the connectivity of key habitats.
Describe the cumulative effects on wildlife that could occur as a result of the timing of the proposed project in combination with other physical facilities or activities.
Describe how cumulative changes in access would affect wildlife mortality risk or habitat quantity and quality.
Compare the cumulative effect on each species assessed to any available species-specific thresholds or policies, and indicate to what degree a threshold is approached or exceeded. The identification and description of wildlife presence in the area must include, but not be limited to, resident, temporary (e.g., migratory), unique species or populations, and umbrella and keystone species. Mammals, birds, amphibians, reptiles and invertebrates may be relevant. The identification and description of wildlife of human importance must also consider consumptive (e.g., hunting, harvesting) and non-consumptive (e.g., bird-watching) values, as well as species of importance to potentially affected Indigenous communities.

The identification, description and quantification of habitat must include, but not be limited to:

breeding or rutting grounds,
nesting and denning sites;
wintering grounds;
hibernation or hibernaculum sites;
moulting, migration and staging areas;
movement corridors;
mineral licks; and
trees important to wildlife (e.g., bat trees).
Other sensitive areas and habitats include:

wetlands (and associated upland habitats);
riparian habitat;
forest interior habitat;
old growth; and
grasslands / native prairie.
The effects analysis regarding wildlife and wildlife habitat must consider factors such as:

ecosystem functions;
the timing of construction activities in relation to sensitive periods for wildlife (e.g., migratory bird breeding season);
varying degrees of wildlife habitat loss;
changes in habitat quality (e.g., fragmentation, edge effects);
changes in human access;
disturbance to wildlife, including sensory (light and noise) disturbance from operation of above-ground facilities, including on birds and nocturnal species; and,
direct and indirect wildlife mortality.
Ensure spatial boundaries for the study area and assessment are specific to the valued component and ecologically defensible (e.g., winter range boundaries, migration routes, fawning and calving areas).

When calculating the disturbance footprint or linear disturbance density, remember to include the total avoidance area experienced by the valued component, which may be considerably larger than the physical footprint itself depending on the valued component.

Temporal considerations are also relevant. For example, effects on wildlife from noise and sensory disturbance, water usage or divergence, or waste stream emissions to air, land or water can be exacerbated by having a number of projects taking place simultaneously (or continuously over more than one season) in a watershed, breeding area or migratory pathway.

Increased access to project areas, whether temporary or permanent, affects wildlife habitat, populations, distribution and interactions. Access may include not only human access but increased ease of access by predators or competing species.

Examples of tools that may be used to assess cumulative effects on valued components include scenario-based models, spatial analysis using a geographic information system, and landscape level indicators of change (e.g., linear density) (see the CEA Agency’s Cumulative Effects Practitioners Guide, 1999).

Applicants should note the requirements of applicable provincial, territorial and federal regulations (e.g., the federal Migratory Birds Regulations).

Additional guidance:

Environment and Climate Change Canada and its Divisions (e.g., Canadian Wildlife Service) are sources of relevant information on:

wildlife and wildlife habitat;
Acts and Regulations, including the Migratory Birds Convention Act, 1994;
locations of National Wildlife Areas and Migratory Bird Sanctuaries; and
environmental assessment guides, including:
Environmental Assessment Best Practice Guide for Wildlife at Risk in Canada; and
relevant Canadian Wildlife Service Technical Report Series publications.
The Important Bird Areas database may be accessed through Bird Studies Canada or Nature Canada."
species,"For effects related to wildlife, fish and plant species at risk or species of special status:

identify the species and their status;
provide the appropriate references to the SARA Schedules, or Committee on the Status of Endangered Wildlife in Canada (COSEWIC), provincial or territorial listing;
identify their habitat(s), including any critical habitat(s) identified in a Recovery Strategy or an Action Plan listed on the SARA public registry;
determine whether the species, its habitat, or the residences of those species could be affected by project activities;
if not, explain why not;
if yes, describe any predicted effects;
identify any critical timing windows (e.g., denning, rutting or spawning), setback distances, or other restrictions;
identify if a provincial, territorial or federal (e.g., SARA) permit will be required; and
identify any proposed mitigative measures (e.g., improved project design or construction timing or compensation plan).
2. Where the project may result in the destruction of any part of the critical habitat of a wildlife species listed on Schedule 1 of SARA, describe:

any discussions with the appropriate Federal Authority (Environment and Climate Change Canada, Fisheries and Oceans Canada, Parks Canada) on obtaining a permit under s. 73 of the SARA;
all reasonable alternatives to the project that would avoid the effect on the species’ critical habitat; and
all feasible measures that will be taken to eliminate the effect of the work or activity on the species’ critical habitat.
3. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical works or activities and expand on the matters described above as appropriate.Many rare species (e.g., endangered or threatened species under the SARA) are at risk in large part as a result of the past cumulative effects on their population or habitat. Their inclusion on official lists reflects their status as having crossed a threshold requiring special actions for their protection and recovery. Any additional residual effects have the potential to further contribute to this existing situation. Consequently, proposed projects must preferably avoid, or fully mitigate or compensate for any residual project contribution to cumulative effects.

Status refers to designation under federal, provincial or territorial legislation or guidelines (e.g., extirpated, endangered, threatened or of special concern).

Consult the SARA public registry for Schedule 1, the List of Wildlife Species at Risk, and Schedules 2 and 3 of SARA. Consult with Environment and Climate Change Canada (Canadian Wildlife Service), Fisheries and Oceans Canada, or Parks Canada on species at risk or their critical habitat in the study area.

Where critical habitat has not been defined, field studies may be necessary, as well as identifying, with federal, provincial or territorial authorities, mitigation measures that effectively avoid sensitive interaction periods or activities. Field surveys may be useful in identifying mitigation needs or locally common populations not substantially affected.

For species at risk listed on Schedule 1 of SARA, the proposed mitigative measures must be consistent with any applicable Recovery Strategies and Action Plans listed on the SARA public registry.

Consult with appropriate provincial or territorial authorities on species listed under those jurisdictions.

For species at risk with no recovery strategy or action plan, applicants should use the best available information, such as COSEWIC status reports, draft recovery strategies or action plans, existing plans or input from the recovery team and specific advice (or management plans) from any jurisdiction that manages the species. Describe how measures to avoid, fully mitigate or compensate project effects would align with the best available information. When relying on compensation plans, describe the details of engagement with relevant experts, the options available, and criteria for selecting the options relied on, and for assessing the adequacy (sufficiency and validity) of any compensation measures or offsets.

Applicants should conduct a thorough inventory of all areas potentially affected by the project that are expected to support any species at risk or species of special status. Consult federal, provincial, territorial, regional and local databases (e.g., conservation data centres) and any other information associated with species of special status. Species data in existing databases may not be systematically collected or updated and, therefore, a database search may not be sufficient to support a conclusion about the absence of a species in the area.

Additional guidance, including direction to relevant federal, provincial, territorial and other related information, is available from the COSEWIC and Environment and Climate Change Canada."
air,"Provide an assessment of air emissions from construction equipment and vehicular traffic.

2. For pipeline and gas plant projects that result or may result in an increase in air emissions during operations or maintenance:

describe local and regional meteorological conditions, including a description and rationale for the meteorological data used in any quantitative assessment;
describe existing background concentrations in the surrounding airshed and the methodology used to determine baseline concentrations;
describe the source characteristics (e.g., point emissions, area sources, flaring and incineration emissions, and fugitive sources);
provide a quantitative assessment of any potential air emissions (e.g., nitrogen dioxide, hydrogen sulphide, sulphur dioxide, ozone, volatile organic compounds, benzene, toluene, ethylbenzene and xylene (BTEX), mercaptans and particulate matter), including fugitive emissions generated by activities and systems associated with the project. Also provide a comparison to all relevant regulatory ambient air quality criteria (both provincial and federal);
identify maximum discharge limits associated with the project including assumptions, inputs and any variables associated with the maximum discharge;
describe the mitigation measures and how they would be implemented to protect the local airshed conditions; and
describe participation in national or regional air emission tracking and reporting programs, or provide rationale why participation is not required.
3. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. The effects assessment must consider:

how volumes and modelled changes to ground-level and receptor-level concentrations during normal operations, maintenance, upsets, start-ups, shut-downs, and worst-case scenarios comply with federal, provincial and local objectives;
compliance with the CCME National Emission Guideline for Stationary Combustion Turbines, the CCME Environmental Code of Practice for the Measurement and Control of Fugitive VOC [volatile organic compounds] Emissions from Equipment Leaks, including details of the leak detection and repair program in place if fugitive VOC emissions are a concern for the project, and the CCME Environmental Guidelines for Controlling Emissions of VOCs from Above Ground Storage Tanks;
compliance with applicable provincial regulations on benzene emissions from processing facilities or CAPP’s Best Management Practice: Control of Benzene Emissions from Glycol Dehydrators;
compliance with applicable provincial flaring, incinerating and venting guidelines and regulations or CAPP’s Best Management Practice: Facility Flare Reduction;
compliance with applicable provincial smoke management / venting guidelines and smoke control regulations; and
reporting requirements to the National Pollutant Release Inventory.
Where ecological and human health effects are predicted to result from the project, see Table A-3.

Monitoring and follow-up must consider:

requirements under federal (CCME) as well as provincial guidelines and permit requirements; validation of predictions in the event of possible exceedances of ambient air quality objectives;
uncertainty or absence of data to model or assess air quality; and
public concerns about air quality.
Where the project may result in an increase in GHG emissions during construction, operations or maintenance, see the GHG emissions section.

Additional guidance:

Canadian National Ambient Air Quality Objectives
CCME’s Canada-wide Standards for Particulate Matter (PM) and Ozone
CAPP Technical Report – A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry: Volume 4, Methodology for CAC and H2S Emissions
CAPP’s Best Management Practice: Management of Fugitive Emissions at Upstream Oil and Gas Facilities."
heritage,"Describe any known heritage resources in the study area.

2. Determine the potential for any undiscovered heritage resources in the study area.

3. Describe what contingency plans and field measures would be undertaken if a heritage resource is discovered during construction.

4. Provide copies of correspondence from provincial or territorial authorities responsible for heritage resources with comments on any heritage resource assessment and proposed mitigation measures.

5. Indicate whether the applicant would implement the recommendations of the provincial or territorial heritage resource authorities.

6. If a previous heritage resource assessment has been completed in the study area, a summary should be filed along with any additional mitigation measures specific to the applied for project.

7. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. Applicants must be aware of federal, provincial or territorial legislation or guidelines for identifying and protecting heritage resources.

Applicants must engage with Indigenous communities with concerns about heritage resources in the project area.

Although lands may be previously disturbed, an archaeological and paleontological assessment may still be required.

The heritage resources assessment must be completed by a qualified archaeologist or paleontologist and include details of the field methodology used in the study.

Where there is potential for discovery of heritage resources during construction or operations activities, a heritage resources contingency plan must be submitted. The plan must state, at a minimum, who would be contacted and under what conditions work would stop and resume."
physical,"Describe the general topography of the project area and any particular physical features crossed by the project or which may affect the project.

2. Identify any areas of ground instability.

3. Identify areas of potential wind or water erosion.

4. Describe the local and regional climate. Also identify the potential for extreme weather events, such as wind, precipitation, and temperature extremes.

5. Identify any areas with potential for acid-generating rock and describe the effects if exposed as a result of the project.

6. Identify and describe any areas with permafrost conditions.

7. Describe how local or regional physical and meteorological conditions could affect the project, including how changing conditions may affect the project over the lifetime of the project. This section provides information on factors or elements of importance that may affect project design.

Give special consideration to the following components which may be either directly or indirectly affected by the project or which may impact project design:

unstable slopes or other unfavourable geotechnical conditions, including areas with the potential for landslides, mudflows, slumping, subsidence;
seismicity;
flooding, migrating watercourses and eroding banks;
extreme weather events;
seasonal and peak flow regime at stream crossings;
river ice processes and potential ice jams;
permafrost; and
areas with acid rock.
Local and regional climate should be described in terms of the range of its variability and the severity (i.e., frequency and duration of maximums and minimums) as well as its averages.

In regions with the potential for extreme weather events, describe and assess these events in terms of:

their frequency and intensity; and
how any applicable design standards reduce the potential threat (also see the Filing Requirements contained in Guide A, section 1.2 Engineering Design Principles).
Meteorological impacts must be considered in the context of:

climate variability and trends (including changes in extreme weather events);
winter ground conditions; and
areas where warming trends may influence hydrologic conditions, such as runoff.
In areas where permafrost regimes exist:

identify and quantify permafrost conditions, including:
discontinuous permafrost;
high ice content soils;
thaw-sensitive slopes; and
riparian areas.
develop baselines for:
near-surface ground temperatures;
active-layer conditions;
slope stability; and
movement potential on the approaches to river crossings.
describe how any changes in the permafrost regime may affect the project over its lifetime."
wetlands,"Quantify, delineate and describe wetlands in the study area in the context of:

wetland class, ecological community type and conservation status;
abundance at local, regional and provincial scales;
distribution; and
current level of disturbance.
2. Identify and describe wetland capacities to perform hydrological, water quality, habitat or other ecological functions.

3. Identify a regional study area of sufficient size to capture effects on wetlands within the larger drainage area. Include wetlands located outside of the local study area that may be affected by hydrological changes as a result of cumulative effects.

4. Detail the efforts to be taken to avoid impacting wetlands, mitigation, monitoring and any applicable compensation measures, for potentially affected wetlands.

5. Where residual effects have been predicted, identify whether those residual effects would be likely to act in combination with the effects of other physical facilities or activities and expand on the matters described above as appropriate. Wetlands include bogs, fens, marshes, swamps and shallow waters as defined in the Canadian Wetland Classification System (National Wetlands Working Group, 1997).

The effects analysis regarding wetlands must consider any potential loss of wetland function.

A higher level of assessment may be required for provincially or territorially significant wetlands, for wetlands of significance to Indigenous peoples or for features of significance. Discuss any applicable provincial or territorial classification schemes, and protection policies and requirements.

Applicants should consult with Environment and Climate Change Canada regarding mitigation for wetlands.

Additional guidance:

Useful information sources accessible from Environment and Climate Change Canada include:

The Federal Policy on Wetland Conservation;
The Federal Policy on Wetland Conservation Implementation Guide;
Wetland Ecological Functional Assessment: An Overview of Approaches; and
Wetlands Environmental Assessment Guideline."
