,tableId,rowIndex,vec_pri,vec_sec,status_bin,status,status_txt,issue_pri,issue_sec,company,monitoring_year,consultantName,application_title_short,word2vec_vec,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,VECassigned
0,0c200808-9563-467f-b74f-2d4b73c53fc4,3,--,Crop growth parameters appeared equal on and off ROW. Access was limited due to adjacent construction and industrial operations.  Soil and landscape parameters were not assessed.,U,Unresolved,Monitor in 2019.,--,Crop growth parameters appeared equal on and off ROW. Access was limited due to adjacent construction and industrial operations.  Soil and landscape parameters were not assessed.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,soil,2,1,0,0,0,0,0,0,2,0,0,1,soil
1,0c200808-9563-467f-b74f-2d4b73c53fc4,4,--,Crop growth parameters appeared equal on and off ROW. Access was limited due to adjacent construction and industrial operations.  Soil and landscape parameters were not assessed.,U,Unresolved,Monitor in 2019.,--,Crop growth parameters appeared equal on and off ROW. Access was limited due to adjacent construction and industrial operations.  Soil and landscape parameters were not assessed.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,soil,2,1,0,0,0,0,0,0,2,0,0,1,soil
2,0c200808-9563-467f-b74f-2d4b73c53fc4,11,Vegetation – crop growth,Crop parameters were equal on and off ROW.,R,Resolved,None.,Vegetation – crop growth,Crop parameters were equal on and off ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,1,2,0,0,0,0,0,0,1,0,0,0,vegetation
3,0c200808-9563-467f-b74f-2d4b73c53fc4,12,Vegetation – weeds,"The ROW is adjacent to other utilities. Weeds were observed to be encroaching from areas off ROW. Scentless chamomile, white cockle, and Canada Thistle were observed on and off ROW.",R,Resolved,None.,Vegetation – weeds,"The ROW is adjacent to other utilities. Weeds were observed to be encroaching from areas off ROW. Scentless chamomile, white cockle, and Canada Thistle were observed on and off ROW.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
4,0c200808-9563-467f-b74f-2d4b73c53fc4,13,Vegetation – weeds,Density and distribution of weed species were equal on and off the ROW. Higher densities of scentless chamomile and white cockle were observed off ROW.,R,Resolved,None.,Vegetation – weeds,Density and distribution of weed species were equal on and off the ROW. Higher densities of scentless chamomile and white cockle were observed off ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
5,0c200808-9563-467f-b74f-2d4b73c53fc4,14,Vegetation – weeds,Density and distribution of weed species were equal on and off the ROW. Higher densities of scentless chamomile and white cockle were observed off ROW.,R,Resolved,None.,Vegetation – weeds,Density and distribution of weed species were equal on and off the ROW. Higher densities of scentless chamomile and white cockle were observed off ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
6,0c200808-9563-467f-b74f-2d4b73c53fc4,18,Landscape – contouring*,"Wetland is recovering, and vegetation re-establishment has improved. Wetland boundaries have been cultivated.",R,Resolved,None.,Landscape – contouring*,"Wetland is recovering, and vegetation re-establishment has improved. Wetland boundaries have been cultivated.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,physical,0,0,0,0,0,0,0,0,2,0,0,0,physical
7,0c200808-9563-467f-b74f-2d4b73c53fc4,19,Vegetation – Establishment,Crop parameters were equal on and off the ROW. Crop has established well along the ROW.,R,Resolved,None.,Vegetation – Establishment,Crop parameters were equal on and off the ROW. Crop has established well along the ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
8,0c200808-9563-467f-b74f-2d4b73c53fc4,20,Vegetation –Weeds,Density and distribution of weed species were equal on and off the ROW. Higher densities of white cockle and Canada thistle were observed off ROW.,R,Resolved,None.,Vegetation –Weeds,Density and distribution of weed species were equal on and off the ROW. Higher densities of white cockle and Canada thistle were observed off ROW.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
9,0c200808-9563-467f-b74f-2d4b73c53fc4,21,Vegetation - Establishment,Subsidence was observed at the pipeline crossing.,U,Unresolved,Monitor in 2019. Repair subsidence when feasible.,Vegetation - Establishment,Subsidence was observed at the pipeline crossing.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
10,0c200808-9563-467f-b74f-2d4b73c53fc4,25,Vegetation - weeds,No increase in weeds were observed.  Remnants of noxious weeds appeared to be controlled and have died off.,R,Resolved,None.,Vegetation - weeds,No increase in weeds were observed.  Remnants of noxious weeds appeared to be controlled and have died off.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
11,0c200808-9563-467f-b74f-2d4b73c53fc4,27,Vegetation - weeds,"Density and distribution of weeds were equal on and off ROW.  Vegetation has re-established well, and appropriate species were observed.",R,Resolved,None.,Vegetation - weeds,"Density and distribution of weeds were equal on and off ROW.  Vegetation has re-established well, and appropriate species were observed.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
12,0c200808-9563-467f-b74f-2d4b73c53fc4,29,Vegetation – establishment and weeds,"Density and distribution of vegetation and weed species were equal on and off the ROW. Higher densities of white cockle, perennial sow thistle, scentless chamomile and Canada thistle were observed off ROW.",R,Resolved,None.,Vegetation – establishment and weeds,"Density and distribution of vegetation and weed species were equal on and off the ROW. Higher densities of white cockle, perennial sow thistle, scentless chamomile and Canada thistle were observed off ROW.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,3,0,0,0,0,0,0,0,0,0,0,vegetation
13,0c200808-9563-467f-b74f-2d4b73c53fc4,30,Vegetation - weeds,"Density and distribution of vegetation and weed species were equal on and off the ROW between KP 14.660 to KP 15.060.  There were some areas of scentless chamomile observed surrounding the newly built garage (KP 14.700 to KP 14.860) and do not appear to be related to ETH reclamation. Hay was cut, and therefor weeds were not observed between KP 15.070 and KP 15.397. Weed observed on the ROW between KP 15.397 to KP 15.469. Moderate densities of white cockle and perennial sow thistle were observed on ROW.",U,Unresolved,Control weeds between KP 15.397 to KP 15.469 and monitor in 2019.  Monitor for weeds in 2019 between KP 15.070 and KP 15.397 where hay was cut.,Vegetation - weeds,"Density and distribution of vegetation and weed species were equal on and off the ROW between KP 14.660 to KP 15.060.  There were some areas of scentless chamomile observed surrounding the newly built garage (KP 14.700 to KP 14.860) and do not appear to be related to ETH reclamation. Hay was cut, and therefor weeds were not observed between KP 15.070 and KP 15.397. Weed observed on the ROW between KP 15.397 to KP 15.469. Moderate densities of white cockle and perennial sow thistle were observed on ROW.",Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
14,0c200808-9563-467f-b74f-2d4b73c53fc4,31,Vegetation - establishment,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,U,Unresolved,Assess vegetation establishment in 2019.,Vegetation - establishment,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,Enbridge Pipelines Inc.,2018,Jacobs,Application for the Edmonton to Hardisty Pipeline Project ,vegetation,0,2,0,0,0,0,0,0,0,0,0,0,vegetation
