tableId,rowIndex,locNo,landuseId
03bfc26a-c6d0-4761-b8f5-47acf2290d02,8,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,9,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,12,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,15,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,16,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,17,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,18,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,22,1,16
03bfc26a-c6d0-4761-b8f5-47acf2290d02,23,1,16
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,1,1,16
09a7c23e-1c94-42ab-bdec-d6fa8bd9b2de,2,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,2,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,3,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,6,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,10,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,11,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,12,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,13,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,14,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,87,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,88,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,89,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,90,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,96,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,97,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,98,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,99,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,100,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,101,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,168,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,169,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,170,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,171,1,16
0c200808-9563-467f-b74f-2d4b73c53fc4,347,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,1,25,16
0d75bd13-0369-4508-909c-cfd26ee08def,1,26,16
0d75bd13-0369-4508-909c-cfd26ee08def,1,28,16
0d75bd13-0369-4508-909c-cfd26ee08def,1,29,16
0d75bd13-0369-4508-909c-cfd26ee08def,35,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,36,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,37,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,38,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,39,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,40,1,16
0d75bd13-0369-4508-909c-cfd26ee08def,41,1,16
1a015685-b171-4200-81f5-61a4886e1918,7,1,16
1a015685-b171-4200-81f5-61a4886e1918,9,1,16
1a015685-b171-4200-81f5-61a4886e1918,10,1,16
