tableId,rowIndex,Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,,,,,,,,,,,,
333e1e53-8897-41fa-acbd-86be8afb31c7,4,SW 24-96-5 W6,Rare Plant (KP 1+500),"No scalloped moonwort (S1) were observed on July 30, 2014. Habitat has been restored to suitable conditions for this species at this location. Further monitoring recommended.","Aug 21, 2016 - Species not observed at recorded pre-disturbance location. Mitigation measures taken during construction effectively maintained habitat conditions similar to pre-disturbance conditions. Further monitoring at this site is not recommended. Issue resolved.","Additional monitoring commitment made in May 17, 2017 NEB IR response.","July 30, 2018 - Two individuals were observed at the reported pre-disturbance location. Mitigation for this rare plant occurrence is considered to have been effective, and this site is considered resolved.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tableId,rowIndex,Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,,,,,,,,,,,,
333e1e53-8897-41fa-acbd-86be8afb31c7,18,SW 20-96-5 W6,Rare Plant (KP 8+500),"No lance-leaved grape ferns (S2) were observed on July 30, 2014. Numerous other grape fern species observed are present and the site appears undisturbed. Issue resolved","July 11, 2016 - Majority of the right of way is vegetating well with American vetch, grasses, willows and alders (High; 80 – 100 % vegetation cover compared to off right-of-way). There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way), there are no secondary issues (e.g., erosion) associated, no work recommended, issue resolved. - KP 8+000, signs and marker posts require repairs. - No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.","July 5, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. All previous vegetation cover issues resolved. Vegetation consists of various grasses, willows, vetch, aspens, pine, alders, raspberry, yellow rattle, and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tableId,rowIndex,Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,,,,,,,,,,,,
333e1e53-8897-41fa-acbd-86be8afb31c7,19,,Rare Plant (KP 8+500),"One individual leather grape fern (S3) was observed on July 30, 2014. Issue resolved","- No noxious weeds were identified. Aug 31, 2016 – KP 8+000 – Marker posts repaired, issue resolved.",,- No erosion or subsidence was identified within 1/4.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tableId,rowIndex,Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,,,,,,,,,,,,
