land_use,standardized_land_use
Disturbed,urban
Forested,forest
Cultivated,cropland
Cultivated/ Disturbed,cropland
Wetland,wetland
Disturbed/ Cultivated,cropland
Cultivated/Wetland,cropland
Forested /Wetland,forest
Cultivated/ Forested/ Wetland,cropland
Forested/ Cultivated,cropland
Cultivated/ Forested,cropland
Mineral Wetland / Forested,forest
Mineral Wetland / Treed Wetland / Forested,wetland
Watercourse,water
Facility site,urban
Facility site/ cultivated,cropland
Watercourse - Goldbar Creek,water
Watercourse -  unnamed drainage,water
Tame pasture,cropland
Watercourse – Fulton Creek/ wetland,water
Hay,cropland
Cultivated/ tree nursery,forest
Tame pasture/ hay,cropland
Treed pasture/ Cultivated,cropland
Treed pasture,grassland
Tame pasture/ hay Wetland,cropland
Treed hay,cropland
Watercourse - Irvine Creek,water
Treed pasture/ hay/ Wetland,cropland
Treed pasture/hay,cropland
Cultivated/TP,cropland
Tame pasture/Wetland,grassland
Field margin,cropland
Cultivated/hay,cropland
Cultivated/Tame Pasture,cropland
Tame pasture/ wetland,grassland
Hay/tame pasture,cropland
Fallow/ valve site,cropland
Tame pasture/hay,cropland
 Native prairie,grassland
Tame pasture/roadside,grassland
Residential/tame pasture,urban
Watercourse - Battle River,water
Watercourse - Battle River (North Bank),water
Treed pasture/facility site,grassland
Treed,forest
Treed Fen,wetland
Shrubby Fen,wetland
Shallow Open Water,water
Treed Bog,wetland
Emergent Marsh,wetland
Non-woody Fen,wetland
Treed/ Shrubby Bog,wetland
Shrubby Bog,wetland
Treed Bog/Treed,wetland
Pasture,cropland
Pasture/Hay,cropland
Pasture/Forested,grassland
Cultivated/Forested,cropland
Forested / Grazing Lease,forest
Watercourse - Tributary  to Stew art Creek (KP 1.025),water
Pasture / Grazing Lease,grassland
Watercourse - Tributary  to Sunset Creek (KP 3.632),water
Watercourse - Tributary  to Sunset Creek (KP 3.771),water
Watercourse - Tributary  to Sunset Creek (KP 4.984),water
Watercourse - Tributary  to Sunset Creek (KP 5.239),water
Watercourse - Tributary  to Sunset Creek (KP 7.407),water
Watercourse - Tributary  to Sunset Creek (KP 7.579),water
Watercourse - Tributary  to Sunset Creek (KP 8.187),water
R & L Wolfe Property   Forest / Pasture,grassland
V Wolfe Property   Forest / Pasture / Hay,cropland
Watercourse - Sunset Creek  (KP 11.513),water
L Dow d Property   Hay,cropland
Sw amp Donkey  Property   Forest / Bush / Muskeg,forest
Watercourse - Tributary  to Sunset Creek (KP 13.559),water
SA Wolfe Property   Hay,cropland
Sw amp Donkey  Property   Hay  / Cultiv ated,cropland
Watercourse - Tributary  to Sunset Creek (KP 15.273),water
SL Wolfe Property   Hay,cropland
D Stenbraaten Property   Hay,cropland
T & S Bruun Property   Forest / Hay,cropland
Watercourse - Tributary  to Sunset Creek (KP 16.888),water
Watercourse - Tributary  to Sunset Creek (KP 16.947),water
J & A Sheets Property   Hay,cropland
Westcoast Energy   Forest / Hay,cropland
Westcoast Energy   Industrial / Hay,cropland
Forested Low/Moderate Vegetation Establishment,forest
Unnamed tributary to Midget Creek (KP 2+400) Low Vegetation Establishment,water
Treed Fen (KP 4+300 to 4+450),wetland
Shrubby Swamp (KP 5+100 to 5+140),wetland
Shrubby Swamp (KP 6+100 to 6+400),wetland
Unnamed drainage to Midget Creek (KP 6+400) Erosion Low Vegetation Establishment,water
Treed Fen (KP 8+700 to 8+970),wetland
Treed Fen (KP 9+200 to 9+340),wetland
