tableId,rowIndex,landUse_nrcan_description_Barren land,landUse_nrcan_description_Cropland,landUse_nrcan_description_Mixed Forest,landUse_nrcan_description_Sub-polar taiga needleleaf forest,landUse_nrcan_description_Temperate or sub-polar broadleaf deciduous forest,landUse_nrcan_description_Temperate or sub-polar grassland,landUse_nrcan_description_Temperate or sub-polar needleleaf forest,landUse_nrcan_description_Temperate or sub-polar shrubland,landUse_nrcan_description_Urban and Built-up,landUse_nrcan_description_Water,landUse_nrcan_description_Wetland
0114daa6-c048-4081-b4cf-7a9d7461fa44,1,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,2,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,3,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,4,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,5,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,6,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,7,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,8,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,9,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,10,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,11,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,12,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,13,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,14,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,15,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,16,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,17,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,18,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,19,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,20,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,21,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,22,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,23,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,24,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,25,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,26,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,27,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,28,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,29,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,30,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,31,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,32,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,33,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,34,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,35,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,36,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,37,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,38,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,39,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,40,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,41,0,0,0,0,0,0,0,0,0,0,0
0114daa6-c048-4081-b4cf-7a9d7461fa44,42,0,0,0,0,0,0,0,0,0,0,0
02db9f91-572a-44af-9858-4add101353c1,1,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,2,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,3,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,4,0,0,0,0,0,1,1,1,0,0,0
02db9f91-572a-44af-9858-4add101353c1,5,0,0,0,0,0,1,1,1,0,0,0
