,Other_Locations_Raw
0,94P-4-J31
1,94P-4-I40
2,94P-4-I50
3,94P-4-I50
4,94P-4-I49
5,94P-4-I48
6,a‑59‑A/94O14 to c‑49‑A/94O14(KP 0.00 to KP 1.00)
7,c‑49‑A/94O14 to a‑40‑A/94O14(KP 1.00 to KP 2.00)
8,a‑90‑I/94O11 to a‑80‑I/94O11(KP 7.00 to KP 8.00)
9,d-50-I/94O11 to a‑49‑I/94O11(KP10.00 to KP 11.00)
10,a‑49‑I/94O11 to a‑39‑I/94O11(KP 11.00 to KP 12.00)
11,a‑49‑I/94O11 to a‑39‑I/94O11(KP 11.00 to KP 12.00)
12,a‑39‑I/94O11 to a‑29‑I/94O11 (KP 12.00 to KP 13.00)
13,a‑39‑I/94O11 to a‑29‑I/94O11 (KP 12.00 to KP 13.00)
14,c‑8‑I/94O11 to a‑98‑H/94O11 (KP 14.00 to KP 15.00)
15,c‑8‑I/94O11 to a‑98‑H/94O11 (KP 14.00 to KP 15.00)
16,c‑17‑H/94O11 to d‑68‑H/94O11 (KP 17.00 to KP 18.00)
17,c‑17‑H/94O11 to d‑68‑H/94O11 (KP 17.00 to KP 18.00)
18,d‑68‑H/94O11 to c‑58‑H/94O11 (KP 18.00 to KP 19.00)
19,c‑58‑H/94O11 to d‑49‑H/94O11 (KP 19.00 to KP 20.00)
20,d‑20‑H/94O11 to c‑10‑H/94O11 (KP 23.00 to KP 24.00)
21,d‑20‑H/94O11 to c‑10‑H/94O11 (KP 23.00 to KP 24.00)
22,c‑10‑H/94O11 to a‑91‑B/94O11 (KP 24.00 to KP 25.00)
23,b‑81‑B/94O11 to a‑72‑B/94O11 (KP 226.00 to KP 27.00)
24,a‑72‑B/94O11 to a‑62‑B/94O11 (KP 27.00 to KP 28.00)
25,a‑62‑B/94O11 to d‑53‑B/94O11 (KP 28.00 to KP 29.00)
26,d‑53‑B/94O11 to c‑43‑B/94O11 (KP 29.00 to KP 30.00)
27,d‑53‑B/94O11 to c‑43‑B/94O11 (KP 29.00 to KP 30.00)
28,c‑43‑B/94O11 to d‑34‑B/94O11(KP 30.00 to KP 31.00)
29,d‑34‑B/94O11 to d‑24‑B/94O11
30,d‑24‑B/94O11 to c‑14‑B/94O11 d‑5‑B/94O11 to b‑95‑J/94O6 (KP 34.00 to KP 35.00)
