,pdfId,pdfName,pdfURL,pdfSubmitter,ApplicationTitle,ApplicationTitleShort,ApplicationLink
0,337444,A0L2F6 - 002 Ekwan Post Construction Monitoring - Sept. 04,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/337444,EnCana Ekwan Pipeline Inc.,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876
1,340413,A0L3K4 - Kwoen Facilities and Re-injection Extension Pipeline Post-Construction Environmental Report,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/340413,"Westcoast Energy Inc., a Duke Energy company",2001-12-14 Application for the Kwoen Re-injection Extension Pipeline,Application for the Kwoen Re-injection Extension Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/139307
2,399963,A0T5H7 - Kwoen Re-injection Pipeline - 3rd Year Post-Construction Environmental Report,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/399963,"Westcoast Energy Inc., carrying on business as Duke Energy Gas Transmission",2001-12-14 Application for the Kwoen Re-injection Extension Pipeline,Application for the Kwoen Re-injection Extension Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/139307
3,408901,A0U3V0 - 002 Post Construction Monitoring - August 2005_EnCana August 2005 Monitoring Report - May 2006,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408901,Alan K. Haskey,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876
4,476639,B-14R Appendix MPLA-SAPL IR 43 b) - TERA Post Construction (A1A3A2),https://apps.cer-rec.gc.ca/REGDOCS/File/Download/476639,Enbridge Pipelines Inc.,2007-05-30 - Application for the Alberta Clipper Expansion Project (OH-4-2007),Application for the Alberta Clipper Expansion Project ,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/465178
5,485515,A1C1E9 - 2007 PCM Report Year 1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/485515,Husky Oil Operations Limited,2006-10-25 - Application for the Rainbow Bivouac Gas Pipeline Loop,Application for the Rainbow Bivouac Gas Pipeline Loop,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/438887
6,485680,A1C1E6 - 2007 PCM Report Year 1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/485680,ConocoPhillips Canada,2006-03-15 - Application for Hiding Creek 10 Inch Gathering Pipeline,Application for Hiding Creek 10 Inch Gathering Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/401233
7,495406,A1D2H0 - Stittsville Post-Construction Monitoring Report - Part 1 of 3,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/495406,TransCanada PipeLines Limited,2005-09-16 - Application for 2006 Eastern Mainline Expansion,Application for 2006 Eastern Mainline Expansion,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/379850
8,538748,A1H6G5 - Post-Construction Monitoring Report Year 1,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/538748,ConocoPhillips Canada,"2007-11-14 - Application for the Chinook Ridge 4"" Gathering Pipeline","Application for the Chinook Ridge 4"" Gathering Pipeline",https://apps.cer-rec.gc.ca/REGDOCS/Item/View/485442
9,538758,A1H6G8 - Post-Construction Monitoring Report Year 2,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/538758,ConocoPhillips Canada,2006-03-15 - Application for Hiding Creek 10 Inch Gathering Pipeline,Application for Hiding Creek 10 Inch Gathering Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/401233
