,physical,physical_environment,soil,soil_productivity,vegetation,water,water_quantity,water_quality,fish,fish_habitat,wetland,wildlife,wildlife_habitat,specie,specie_risk,air,air_quality,acoustic_environment,acoustic,heritage,heritage_resource,access,navigation,navigation_safety,erosion,coarse_fragments,subsidence,topsoil_admixing,compaction,topsoil_loss,watercourse,vegetation_establishment,invasive,plants,weeds,rare,stream,stream_channel,stream_bank,riparian,riparian_vegetation,riparian_vegetation_establishment
0,"('expand_matter', 0.71050626039505)",The word is not in vocabulary,"('topsoil', 0.7372910976409912)",The word is not in vocabulary,"('wetland', 0.7751978635787964)","('surface', 0.684134304523468)",The word is not in vocabulary,The word is not in vocabulary,"('habitat', 0.7590408325195312)",The word is not in vocabulary,"('function', 0.8464576005935669)","('habitat', 0.808007001876831)",The word is not in vocabulary,"('species', 0.7700064778327942)",The word is not in vocabulary,"('personal_comfort', 0.6475582718849182)","('air_emission', 0.8628445267677307)","('air_quality', 0.789069652557373)","('acoustical', 0.7751250267028809)","('clearance', 0.6971463561058044)","('resource', 0.7321675419807434)","('unauthorized_public', 0.6839995384216309)","('waterway', 0.7118788957595825)","('recreational_boater', 0.9247491359710693)","('subsidence', 0.8163646459579468)",The word is not in vocabulary,"('minor_subsidence', 0.8743252754211426)",The word is not in vocabulary,"('admixing', 0.7859095931053162)",The word is not in vocabulary,"('crossing', 0.8780851364135742)","('establishment', 0.7856804132461548)","('provincially_regionally', 0.7642728090286255)","('illustree_dan', 0.7895357012748718)","('common_toadflax', 0.8410664200782776)","('taxon_uncommon', 0.7617765665054321)","('channel', 0.7386810779571533)",The word is not in vocabulary,The word is not in vocabulary,"('silver_berry', 0.7160320281982422)",The word is not in vocabulary,The word is not in vocabulary
1,"('structure_lowering', 0.7089070677757263)",The word is not in vocabulary,"('admixing', 0.6754926443099976)",The word is not in vocabulary,"('cover', 0.7749848365783691)","('channelize_flow', 0.6609479188919067)",The word is not in vocabulary,The word is not in vocabulary,"('heritage_andtraditional', 0.7145649194717407)",The word is not in vocabulary,"('vegetation', 0.7751978635787964)","('heritage_andtraditional', 0.6898730993270874)",The word is not in vocabulary,"('colonizer', 0.7342643141746521)",The word is not in vocabulary,"('shovel_compress', 0.6431300640106201)","('air_contaminant', 0.8329251408576965)","('facility_instalment', 0.7795408964157104)","('noise', 0.7702649831771851)","('mchscp', 0.6779513359069824)","('paleontological', 0.7163858413696289)","('newly_create', 0.673805832862854)","('npa', 0.7009301781654358)","('authorization_hadd', 0.8998770713806152)","('rill_erosion', 0.8150253295898438)",The word is not in vocabulary,"('repair', 0.8238668441772461)",The word is not in vocabulary,"('alleviate_compaction', 0.7818331718444824)",The word is not in vocabulary,"('cross', 0.7848029136657715)","('minor_rill', 0.7593991756439209)","('weed_nonnative', 0.7544423341751099)","('inventaire_sont', 0.7726736068725586)","('sonchus_oleraceus', 0.8381222486495972)","('occurrence', 0.7452948093414307)","('flow', 0.700352132320404)",The word is not in vocabulary,The word is not in vocabulary,"('naturally_revegetate', 0.706386923789978)",The word is not in vocabulary,The word is not in vocabulary
2,"('meteorological_environment', 0.7063101530075073)",The word is not in vocabulary,"('vegetation', 0.6679812073707581)",The word is not in vocabulary,"('row', 0.747799277305603)","('wetland', 0.6573988199234009)",The word is not in vocabulary,The word is not in vocabulary,"('conceptual_compensation', 0.6931310892105103)",The word is not in vocabulary,"('functionality_attain', 0.7062674164772034)","('dataform', 0.66241455078125)",The word is not in vocabulary,"('plant', 0.7337213158607483)",The word is not in vocabulary,"('disperse_atmosphere', 0.6408682465553284)","('atmospheric_environment', 0.8185970187187195)","('facility_installment', 0.7592586874961853)","('underwater_sound', 0.7622365951538086)","('sk_chb', 0.6718253493309021)","('undiscovered_heritage', 0.6920491456985474)","('rollback_mound', 0.6724201440811157)","('navigable', 0.6967527866363525)","('interference_navigation', 0.8949722051620483)","('diversion_berm', 0.8061739206314087)",The word is not in vocabulary,"('erosion_rill', 0.8235871195793152)",The word is not in vocabulary,"('discing', 0.7641368508338928)",The word is not in vocabulary,"('coconut_cloth', 0.697331428527832)","('monitor', 0.7572378516197205)","('invade', 0.7536264657974243)","('niche', 0.7699266076087952)","('cirsium_vulgare', 0.8351536989212036)","('apparently_secure', 0.727206826210022)","('scour', 0.6831610202789307)",The word is not in vocabulary,The word is not in vocabulary,"('shrub', 0.6999178528785706)",The word is not in vocabulary,The word is not in vocabulary
3,"('severely_admix', 0.6945651769638062)",The word is not in vocabulary,"('compaction', 0.6638398170471191)",The word is not in vocabulary,"('vegetation_establishment', 0.7417738437652588)","('submergent_riparian', 0.6534895300865173)",The word is not in vocabulary,The word is not in vocabulary,"('watercourses', 0.6869970560073853)",The word is not in vocabulary,"('health_unhealthy', 0.6976633071899414)","('fish', 0.6554870009422302)",The word is not in vocabulary,"('stage_successional', 0.714703381061554)",The word is not in vocabulary,"('effluent_discharge', 0.6382755041122437)","('greenhouse_gas', 0.8006170988082886)","('air_emission', 0.7461668252944946)","('microphone', 0.7541214227676392)","('hrb', 0.6699989438056946)","('archaeological', 0.6855610013008118)","('prevent_unauthorized', 0.6717534065246582)","('navigation_safety', 0.6940418481826782)","('scheduled', 0.8904053568840027)","('minor_rill', 0.7981894016265869)",The word is not in vocabulary,"('erosion', 0.8163646459579468)",The word is not in vocabulary,"('admix', 0.7636626958847046)",The word is not in vocabulary,"('unnamed', 0.6952854990959167)","('continue_monitor', 0.7530479431152344)","('prohibited', 0.7469862699508667)","('sighting_record', 0.7659793496131897)","('absinthium', 0.8222206830978394)","('globally', 0.7229709029197693)","('spillway', 0.6473795175552368)",The word is not in vocabulary,The word is not in vocabulary,"('resee_native', 0.6938129663467407)",The word is not in vocabulary,The word is not in vocabulary
4,"('key_mitigationa', 0.6841724514961243)",The word is not in vocabulary,"('ptsip', 0.6618868112564087)",The word is not in vocabulary,"('appear_outcompete', 0.7407482266426086)","('channeling', 0.6473231911659241)",The word is not in vocabulary,The word is not in vocabulary,"('bear_ncds', 0.6779825687408447)",The word is not in vocabulary,"('proper_functional', 0.6947066783905029)","('ungulate', 0.6495507955551147)",The word is not in vocabulary,"('native', 0.7139889597892761)",The word is not in vocabulary,"('rmax', 0.6336446404457092)","('emission', 0.7977491021156311)","('noise', 0.7383019924163818)","('tdr_jasco', 0.7527537941932678)","('heritage_resource', 0.6681445837020874)","('mile_post', 0.6839667558670044)","('sign_discourage', 0.6713831424713135)","('act_npa', 0.6935005784034729)","('poe_diagram', 0.8818342089653015)","('silt_fence', 0.7857508659362793)",The word is not in vocabulary,"('contouring', 0.8101418614387512)",The word is not in vocabulary,"('rut', 0.7636432647705078)",The word is not in vocabulary,"('crossings', 0.6930067539215088)","('uneven_tie', 0.7470200061798096)","('noxious_prohibit', 0.745315670967102)","('respect_threatened', 0.7622968554496765)","('orange_hawkweed', 0.8174165487289429)","('rare_uncommon', 0.7097126841545105)","('fish_bearing', 0.6398714184761047)",The word is not in vocabulary,The word is not in vocabulary,"('survivorship', 0.6890142560005188)",The word is not in vocabulary,The word is not in vocabulary
5,"('destabilization', 0.6774964332580566)",The word is not in vocabulary,"('depth', 0.6518161296844482)",The word is not in vocabulary,"('roach_exhibit', 0.7324317693710327)","('intermittent_pouch', 0.6374902725219727)",The word is not in vocabulary,The word is not in vocabulary,"('fisherie', 0.6742371320724487)",The word is not in vocabulary,"('appear_full', 0.6864407658576965)","('somcs', 0.6351161003112793)",The word is not in vocabulary,"('aide', 0.7121620178222656)",The word is not in vocabulary,"('rmin', 0.6332497000694275)","('acoustic_environment', 0.7890695333480835)","('nuisance_noise', 0.7248061895370483)","('underwater_noise', 0.7517923712730408)","('act_clearance', 0.6672670245170593)","('prohibit_collection', 0.6760526895523071)","('approve_shoo', 0.6682801246643066)","('navigate', 0.6889578700065613)","('interbasin_transfer', 0.8805055022239685)","('erosion_rill', 0.7850627899169922)",The word is not in vocabulary,"('abo', 0.8094231486320496)",The word is not in vocabulary,"('crop_growth', 0.7635653614997864)",The word is not in vocabulary,"('huggard_creek', 0.6922751665115356)","('dji_forested', 0.746397078037262)","('neipc', 0.741727352142334)","('prohibited', 0.7609477043151855)","('curl_dock', 0.8163176774978638)","('demonstrably_secure', 0.6975709795951843)","('nwe', 0.6362277269363403)",The word is not in vocabulary,The word is not in vocabulary,"('establishing', 0.6806968450546265)",The word is not in vocabulary,The word is not in vocabulary
6,"('incrementally_contribute', 0.6765316128730774)",The word is not in vocabulary,"('topographic_class', 0.640723705291748)",The word is not in vocabulary,"('compare_row', 0.7298506498336792)","('unintentional_channelization', 0.6361157298088074)",The word is not in vocabulary,The word is not in vocabulary,"('introduction_deleterious', 0.6724770069122314)",The word is not in vocabulary,"('healthy_problem', 0.6846193075180054)","('mammal', 0.6312733888626099)",The word is not in vocabulary,"('persistent_invasive', 0.7088538408279419)",The word is not in vocabulary,"('heating', 0.6283873319625854)","('cacs', 0.7799524068832397)","('unwanted_sound', 0.7230214476585388)","('audiogram', 0.7469972372055054)","('smpcs', 0.6563016176223755)","('archeological', 0.6710603833198547)","('roll_back', 0.6654191017150879)","('canoe_kayak', 0.6817587614059448)","('nevertheless', 0.8793939352035522)","('contoured', 0.7832121253013611)",The word is not in vocabulary,"('uneven_contouring', 0.8051742911338806)",The word is not in vocabulary,"('inject_assess', 0.740663468837738)",The word is not in vocabulary,"('directionally_drill', 0.6874839663505554)","('bii_forested', 0.7454020977020264)","('non_listed', 0.7307114601135254)","('anpc_guideline', 0.7603369951248169)","('arvensis_noxious', 0.8157312870025635)","('widespread_abundant', 0.6930012106895447)","('tributary', 0.6307060718536377)",The word is not in vocabulary,The word is not in vocabulary,"('tree_shrub', 0.6790902614593506)",The word is not in vocabulary,The word is not in vocabulary
7,"('refuse_refuse', 0.6751930117607117)",The word is not in vocabulary,"('glags_topographic', 0.639439582824707)",The word is not in vocabulary,"('landowner_satisfied', 0.7286131978034973)","('causing', 0.629089891910553)",The word is not in vocabulary,The word is not in vocabulary,"('fish_bearing', 0.671979546546936)",The word is not in vocabulary,"('functional_condition', 0.6772112846374512)","('songbird', 0.6301776766777039)",The word is not in vocabulary,"('weedy', 0.7054646015167236)",The word is not in vocabulary,"('borne_vibration', 0.625261664390564)","('ambient_air', 0.7466502785682678)","('atmospheric_environment', 0.7095250487327576)","('acoustics', 0.7433158755302429)","('archaeology', 0.6514554619789124)","('paleontological_resource', 0.6691977977752686)","('road', 0.6626968383789062)","('navigable_waterway', 0.6798665523529053)","('offsetting', 0.8682594895362854)","('rilling', 0.7812249660491943)",The word is not in vocabulary,"('cho_dho', 0.8040039539337158)",The word is not in vocabulary,"('physical_resistance', 0.7387149333953857)",The word is not in vocabulary,"('armoring', 0.6859158277511597)","('vegetation', 0.7417738437652588)","('ipcprrd', 0.7305673360824585)","('provincially_regionally', 0.7577911615371704)","('goat_beard', 0.8154721260070801)","('extirpation', 0.6920886635780334)","('definable', 0.6292892098426819)",The word is not in vocabulary,The word is not in vocabulary,"('replace_salvaged', 0.6786506175994873)",The word is not in vocabulary,The word is not in vocabulary
8,"('overland_runoff', 0.6751697063446045)",The word is not in vocabulary,"('agricultural_capability', 0.6388808488845825)",The word is not in vocabulary,"('handpicking', 0.7270833253860474)","('unnatural_contour', 0.6256323456764221)",The word is not in vocabulary,The word is not in vocabulary,"('likelihood_serious', 0.6699589490890503)",The word is not in vocabulary,"('proper_functionality', 0.6748080253601074)","('displace_degrade', 0.6261069178581238)",The word is not in vocabulary,"('riparian_fringe', 0.7052074074745178)",The word is not in vocabulary,"('sulphur_fuel', 0.6234018802642822)","('facility_installment', 0.7295868396759033)","('human_occupancy', 0.7036526799201965)","('sound_propagation', 0.7358604073524475)","('culture_sport', 0.6489518880844116)","('hrb', 0.6688989400863647)","('atv_argos', 0.6583982706069946)","('recreational_boating', 0.6719799637794495)","('ffhiat', 0.8661554455757141)","('coir_matting', 0.7797523736953735)",The word is not in vocabulary,"('trench_crowning', 0.8018028140068054)",The word is not in vocabulary,"('plant_vigor', 0.7365888953208923)",The word is not in vocabulary,"('kpm', 0.6833342909812927)","('bare_patch', 0.7361773252487183)","('introduce_spread', 0.7279559373855591)","('du_materiel', 0.7557147145271301)","('matricaria_maritima', 0.8149731159210205)","('somewhat_vulnerable', 0.6869570016860962)","('sediment_mobilize', 0.6267293095588684)",The word is not in vocabulary,The word is not in vocabulary,"('promote_rapid', 0.6734136343002319)",The word is not in vocabulary,The word is not in vocabulary
9,"('limiting', 0.6742059588432312)",The word is not in vocabulary,"('admix', 0.6360595226287842)",The word is not in vocabulary,"('comparable_adjacent', 0.7268766760826111)","('interception', 0.6249488592147827)",The word is not in vocabulary,The word is not in vocabulary,"('watercourse', 0.6683151721954346)",The word is not in vocabulary,"('hydrology', 0.6739418506622314)","('amphibian', 0.6239603757858276)",The word is not in vocabulary,"('nonnative', 0.7029922604560852)",The word is not in vocabulary,"('reduce_idling', 0.6233623623847961)","('cac_emission', 0.7234331965446472)","('vec_interaction', 0.7035333514213562)","('broadband', 0.7320883274078369)","('shrb', 0.646643340587616)","('heritage', 0.6681445837020874)","('motorize_vehicle', 0.6557132005691528)","('fishing', 0.671466052532196)","('customize', 0.8649391531944275)","('recontoured', 0.7797282934188843)",The word is not in vocabulary,"('cbo', 0.8001511693000793)",The word is not in vocabulary,"('penetrometer', 0.733057975769043)",The word is not in vocabulary,"('geotechnically_stable', 0.6803801655769348)","('recently_rework', 0.7361253499984741)","('introduction_spread', 0.7162551879882812)","('photos', 0.7516301870346069)","('tanacetum_vulgare', 0.8134164810180664)","('two_consecutive', 0.6849236488342285)","('overland_flow', 0.6221219301223755)",The word is not in vocabulary,The word is not in vocabulary,"('coconut_matting', 0.6729600429534912)",The word is not in vocabulary,The word is not in vocabulary
