,physical,physical_environment,soil,soil_productivity,vegetation,water,water_quantity,water_quality,fish,fish_habitat,wetland,wildlife,wildlife_habitat,specie,specie_risk,air,air_quality,acoustic_environment,acoustic,heritage,heritage_resource,access,navigation,navigation_safety,erosion,coarse_fragments,subsidence,topsoil_admixing,compaction,topsoil_loss,watercourse,vegetation_establishment,invasive,plants,weeds,rare,stream,stream_channel,stream_bank,riparian,riparian_vegetation,riparian_vegetation_establishment
0,"('altered', 0.73329758644104)",The word is not in vocabulary,"('topsoil', 0.816535234451294)",The word is not in vocabulary,"('establishment', 0.9199408888816833)","('interception', 0.7796533703804016)",The word is not in vocabulary,The word is not in vocabulary,"('habitat', 0.7718520164489746)",The word is not in vocabulary,"('function', 0.8459157943725586)","('habitat', 0.8055280447006226)",The word is not in vocabulary,"('species', 0.8535147905349731)",The word is not in vocabulary,"('compressed', 0.760304868221283)","('am', 0.9935526251792908)",The word is not in vocabulary,"('instalment', 0.7538754940032959)","('resource', 0.8302514553070068)",The word is not in vocabulary,"('argos', 0.7284475564956665)","('navigable', 0.7482010126113892)",The word is not in vocabulary,"('rill', 0.8170748949050903)",The word is not in vocabulary,"('repair', 0.8893304467201233)",The word is not in vocabulary,"('rut', 0.8732352256774902)",The word is not in vocabulary,"('crossing', 0.8863968849182129)",The word is not in vocabulary,"('nonnative', 0.8164685964584351)","('plantsrare', 0.7519007921218872)","('weed', 0.8479878902435303)","('plant', 0.8700611591339111)","('channel', 0.7498522996902466)",The word is not in vocabulary,The word is not in vocabulary,"('shrub', 0.74327152967453)",The word is not in vocabulary,The word is not in vocabulary
1,"('mitigationa', 0.7209987640380859)",The word is not in vocabulary,"('tilth', 0.7075840830802917)",The word is not in vocabulary,"('establishing', 0.8154914379119873)","('channeling', 0.7546975612640381)",The word is not in vocabulary,The word is not in vocabulary,"('bearing', 0.6953318119049072)",The word is not in vocabulary,"('vegetation', 0.7504171133041382)","('somcs', 0.6822313666343689)",The word is not in vocabulary,"('recolonization', 0.7887401580810547)",The word is not in vocabulary,"('installment', 0.7508432269096375)","('disciplines', 0.9568369388580322)",The word is not in vocabulary,"('installment', 0.7435619235038757)","('traditional', 0.7309315204620361)",The word is not in vocabulary,"('watercrosse', 0.7135535478591919)","('boating', 0.7035313844680786)",The word is not in vocabulary,"('arrante', 0.8130990266799927)",The word is not in vocabulary,"('rill', 0.8175078630447388)",The word is not in vocabulary,"('rutting', 0.8683212995529175)",The word is not in vocabulary,"('crossings', 0.7607535123825073)",The word is not in vocabulary,"('noxious', 0.7600977420806885)","('wfa', 0.6976122856140137)","('swathe', 0.7549110054969788)","('vascular', 0.8143261671066284)","('definable', 0.6907902359962463)",The word is not in vocabulary,The word is not in vocabulary,"('armoring', 0.6741247177124023)",The word is not in vocabulary,The word is not in vocabulary
2,"('productivity', 0.7076287269592285)",The word is not in vocabulary,"('ameliorate', 0.7055000066757202)",The word is not in vocabulary,"('monitor', 0.8087973594665527)","('substrata', 0.7444977164268494)",The word is not in vocabulary,The word is not in vocabulary,"('ncds', 0.6866879463195801)",The word is not in vocabulary,"('railbe', 0.7470830678939819)","('amphibian', 0.6750543713569641)",The word is not in vocabulary,"('colonizer', 0.7736634612083435)",The word is not in vocabulary,"('contaminant', 0.7430245876312256)","('thematic', 0.9196494221687317)",The word is not in vocabulary,"('atmospheric', 0.737665593624115)","('archaeological', 0.7170305252075195)",The word is not in vocabulary,"('barricade', 0.7120276689529419)","('navigate', 0.6795012950897217)",The word is not in vocabulary,"('subsidence', 0.7986352443695068)",The word is not in vocabulary,"('contouring', 0.8029599189758301)",The word is not in vocabulary,"('subsoil', 0.7691177129745483)",The word is not in vocabulary,"('huggard', 0.7598622441291809)",The word is not in vocabulary,"('weed', 0.7381961345672607)","('wfb', 0.6848273873329163)","('noxious', 0.7532720565795898)","('snakeskin', 0.7757845520973206)","('flow', 0.6804323792457581)",The word is not in vocabulary,The word is not in vocabulary,"('margins', 0.6725414991378784)",The word is not in vocabulary,The word is not in vocabulary
3,"('destabilization', 0.705390989780426)",The word is not in vocabulary,"('tiller', 0.6954976320266724)",The word is not in vocabulary,"('railbe', 0.7999027967453003)","('causing', 0.7328847646713257)",The word is not in vocabulary,The word is not in vocabulary,"('watercourse', 0.677695095539093)",The word is not in vocabulary,"('row', 0.7197622060775757)","('andtraditional', 0.6628416776657104)",The word is not in vocabulary,"('invade', 0.7533032894134521)",The word is not in vocabulary,"('instalment', 0.7337490320205688)","('bing', 0.8304095268249512)",The word is not in vocabulary,"('shroud', 0.7255367040634155)","('paleontological', 0.6858435869216919)",The word is not in vocabulary,"('microsites', 0.7086970210075378)","('npa', 0.6761603355407715)",The word is not in vocabulary,"('ehicle', 0.7909888029098511)",The word is not in vocabulary,"('erosion', 0.7986351251602173)",The word is not in vocabulary,"('discing', 0.7549847364425659)",The word is not in vocabulary,"('purpleville', 0.741314172744751)",The word is not in vocabulary,"('neipc', 0.7260696887969971)","('tgf', 0.6622425317764282)","('sprayed', 0.7399588823318481)","('saxifrage', 0.7251627445220947)","('scour', 0.6669236421585083)",The word is not in vocabulary,The word is not in vocabulary,"('bank', 0.670991837978363)",The word is not in vocabulary,The word is not in vocabulary
4,"('alteration', 0.6925356388092041)",The word is not in vocabulary,"('depth', 0.6946176290512085)",The word is not in vocabulary,"('row', 0.7975932955741882)","('channelling', 0.7277565002441406)",The word is not in vocabulary,The word is not in vocabulary,"('nvcs', 0.6735132932662964)",The word is not in vocabulary,"('throughflow', 0.709257185459137)","('fish', 0.6622598171234131)",The word is not in vocabulary,"('ingress', 0.7509062886238098)",The word is not in vocabulary,"('cacs', 0.7265143394470215)","('agencysource', 0.8211479187011719)",The word is not in vocabulary,"('noise', 0.7132365703582764)","('hro', 0.6797027587890625)",The word is not in vocabulary,"('utv', 0.7070020437240601)","('kayak', 0.6698065996170044)",The word is not in vocabulary,"('channelling', 0.7873107194900513)",The word is not in vocabulary,"('cbo', 0.7955018877983093)",The word is not in vocabulary,"('ameliorate', 0.7357427477836609)",The word is not in vocabulary,"('unnamed', 0.7352339029312134)",The word is not in vocabulary,"('ipcprrd', 0.7182517051696777)","('donor', 0.6592807769775391)","('unresolve', 0.7218112945556641)","('transplanted', 0.7126349806785583)","('mistanusk', 0.664995551109314)",The word is not in vocabulary,The word is not in vocabulary,"('preparatory', 0.6698254346847534)",The word is not in vocabulary,The word is not in vocabulary
5,"('potability', 0.6908285617828369)",The word is not in vocabulary,"('discing', 0.6945524215698242)",The word is not in vocabulary,"('affective', 0.7959821224212646)","('surface', 0.7273894548416138)",The word is not in vocabulary,The word is not in vocabulary,"('fishbeare', 0.6720224022865295)",The word is not in vocabulary,"('hydroperiod', 0.7078866958618164)","('dataform', 0.6597259640693665)",The word is not in vocabulary,"('aide', 0.7486934065818787)",The word is not in vocabulary,"('haps', 0.7197815775871277)","('fugro', 0.8110045790672302)",The word is not in vocabulary,"('modeling', 0.6779018640518188)","('archeological', 0.6773995757102966)",The word is not in vocabulary,"('allot', 0.7021054029464722)","('nns', 0.6667659282684326)",The word is not in vocabulary,"('hillslope', 0.7828621864318848)",The word is not in vocabulary,"('arrante', 0.7925369739532471)",The word is not in vocabulary,"('erosion', 0.7283501625061035)",The word is not in vocabulary,"('cross', 0.7347898483276367)",The word is not in vocabulary,"('introduced', 0.7036125659942627)","('shrivel', 0.6590692400932312)","('prohibited', 0.7217596173286438)","('nonvascular', 0.7097834348678589)","('streams', 0.6625204086303711)",The word is not in vocabulary,The word is not in vocabulary,"('survivorship', 0.6659994125366211)",The word is not in vocabulary,The word is not in vocabulary
6,"('potential', 0.6887823343276978)",The word is not in vocabulary,"('admix', 0.6849550008773804)",The word is not in vocabulary,"('cover', 0.7922961115837097)","('redirect', 0.7273563146591187)",The word is not in vocabulary,The word is not in vocabulary,"('andtraditional', 0.6701937913894653)",The word is not in vocabulary,"('dysfunction', 0.7039047479629517)","('deon', 0.6414896249771118)",The word is not in vocabulary,"('unaltered', 0.7482239007949829)",The word is not in vocabulary,"('misting', 0.699990451335907)","('geosurveys', 0.7877087593078613)",The word is not in vocabulary,"('acoustics', 0.675756573677063)","('hrias', 0.6750894784927368)",The word is not in vocabulary,"('vegetationa', 0.697787880897522)","('boater', 0.6606135964393616)",The word is not in vocabulary,"('rut', 0.7824578285217285)",The word is not in vocabulary,"('aio', 0.7878156304359436)",The word is not in vocabulary,"('trench', 0.7280952334403992)",The word is not in vocabulary,"('armoring', 0.7304604053497314)",The word is not in vocabulary,"('unintentionally', 0.7014983296394348)","('pondamph', 0.6586312055587769)","('concerns', 0.7206826210021973)","('unsuccessfully', 0.7023590803146362)","('braided', 0.6542235612869263)",The word is not in vocabulary,The word is not in vocabulary,"('unembedde', 0.6659941673278809)",The word is not in vocabulary,The word is not in vocabulary
7,"('cause', 0.686951756477356)",The word is not in vocabulary,"('site', 0.6833541393280029)",The word is not in vocabulary,"('revegetating', 0.7916078567504883)","('ditching', 0.7189570069313049)",The word is not in vocabulary,The word is not in vocabulary,"('wildlife', 0.6622597575187683)",The word is not in vocabulary,"('functional', 0.7035390138626099)","('tcadsheet', 0.6414493918418884)",The word is not in vocabulary,"('weedy', 0.7481976747512817)",The word is not in vocabulary,"('quality', 0.6948214173316956)","('venturion', 0.7874562740325928)",The word is not in vocabulary,"('audiogram', 0.6642202138900757)","('djmb', 0.6692072153091431)",The word is not in vocabulary,"('detour', 0.6904829740524292)","('scwb', 0.6474390029907227)",The word is not in vocabulary,"('straw', 0.7805308103561401)",The word is not in vocabulary,"('heaving', 0.7864183187484741)",The word is not in vocabulary,"('tilth', 0.7231056690216064)",The word is not in vocabulary,"('creek', 0.7181187868118286)",The word is not in vocabulary,"('invasiveness', 0.6993828415870667)","('syntrichia', 0.6557351350784302)","('reseeded', 0.7180278301239014)","('purposeful', 0.6909716129302979)","('conveyance', 0.6516104936599731)",The word is not in vocabulary,The word is not in vocabulary,"('buffers', 0.6625490188598633)",The word is not in vocabulary,The word is not in vocabulary
8,"('checkmark', 0.6847835779190063)",The word is not in vocabulary,"('topography', 0.6774336099624634)",The word is not in vocabulary,"('observe', 0.791354238986969)","('discharged', 0.7170091271400452)",The word is not in vocabulary,The word is not in vocabulary,"('emile', 0.6549723148345947)",The word is not in vocabulary,"('healthy', 0.700202465057373)","('noncritical', 0.6243822574615479)",The word is not in vocabulary,"('outcompete', 0.7459428906440735)",The word is not in vocabulary,"('emission', 0.6902828812599182)","('spyglass', 0.787171483039856)",The word is not in vocabulary,"('enm', 0.6637100577354431)","('pipelineproject', 0.6611685752868652)",The word is not in vocabulary,"('trespassing', 0.6887210607528687)","('aids', 0.6425174474716187)",The word is not in vocabulary,"('tackified', 0.7803072929382324)",The word is not in vocabulary,"('causing', 0.7862871289253235)",The word is not in vocabulary,"('admixing', 0.7121496200561523)",The word is not in vocabulary,"('directionally', 0.7118688821792603)",The word is not in vocabulary,"('jnps', 0.6983834505081177)","('riccflu', 0.6517595648765564)","('unseede', 0.7080773115158081)","('iowense', 0.6829018592834473)","('bedload', 0.6430728435516357)",The word is not in vocabulary,The word is not in vocabulary,"('gravelled', 0.6621582508087158)",The word is not in vocabulary,The word is not in vocabulary
9,"('mechanisms', 0.6825611591339111)",The word is not in vocabulary,"('ptsip', 0.6769412755966187)",The word is not in vocabulary,"('lowgrowe', 0.7905406951904297)","('destabilize', 0.7101789712905884)",The word is not in vocabulary,The word is not in vocabulary,"('aquatic', 0.647117018699646)",The word is not in vocabulary,"('hydrologic', 0.6931135654449463)","('wetlands', 0.6224094033241272)",The word is not in vocabulary,"('cover', 0.7445560693740845)",The word is not in vocabulary,"('cac', 0.6886848211288452)","('cequence', 0.7868921756744385)",The word is not in vocabulary,"('airborne', 0.6636507511138916)","('hrmb', 0.6461816430091858)",The word is not in vocabulary,"('congest', 0.6871415376663208)","('safety', 0.6388307809829712)",The word is not in vocabulary,"('disking', 0.7752232551574707)",The word is not in vocabulary,"('crowning', 0.7834833860397339)",The word is not in vocabulary,"('tiller', 0.7113214731216431)",The word is not in vocabulary,"('reposition', 0.7097969055175781)",The word is not in vocabulary,"('eradication', 0.691484808921814)","('streamamph', 0.6503554582595825)","('estab', 0.7059187889099121)","('resolved', 0.6777690649032593)","('wedeene', 0.6409308910369873)",The word is not in vocabulary,The word is not in vocabulary,"('willow', 0.6608006358146667)",The word is not in vocabulary,The word is not in vocabulary
