,physical_environment,soil,vegetation,water,fish,wetland,wildlife,species,air,air_quality,acoustic_environment,heritage,heritage_resource,access,erosion,coarse_fragment,subsidence,compaction,watercourse,invasive,plant,weed,rare,stream,riparian
0,"('backfill_instability', 0.7019832134246826)","('topsoil', 0.6381025314331055)","('establishment', 0.8761895298957825)","('quality', 0.5194545984268188)","('instream', 0.6812726855278015)","('function', 0.6649925708770752)","('habitat', 0.7718976140022278)","('specie', 0.6102867126464844)","('shovel_compress', 0.7233852744102478)","('acoustic_environment', 0.9324653148651123)","('air_quality', 0.9324653148651123)","('act_clearance', 0.6249433755874634)","('mile_post', 0.6646567583084106)","('mounding', 0.5402491688728333)","('subsidence', 0.7111879587173462)","('stone_gravel', 0.7526192665100098)","('repair', 0.7294474840164185)","('admix', 0.7136127352714539)","('crossing', 0.6834603548049927)","('specie', 0.6093084812164307)","('growth', 0.5325905084609985)","('noxious', 0.7660104036331177)","('ecological_community', 0.6370025873184204)","('dam_pump', 0.6398495435714722)","('riparian_planting', 0.5634347200393677)"
1,"('capability_stripping', 0.581260621547699)","('shags_topographic', 0.5863683223724365)","('cover', 0.6406683921813965)","('saturated', 0.5172988176345825)","('spawning', 0.6165041327476501)","('functional', 0.5734028816223145)","('fish_fish', 0.6055017113685608)","('scientific_name', 0.5348894000053406)","('mist', 0.598064124584198)","('special_status', 0.791744589805603)","('special_status', 0.7367682456970215)","('credit', 0.5220232009887695)","('municipality_boundary', 0.6420772671699524)","('mound', 0.5364224314689636)","('rill', 0.6719272136688232)","('fragment', 0.6242533922195435)","('erosion', 0.7111879587173462)","('crop_growth', 0.6949586868286133)","('wc', 0.5666396617889404)","('noxious_prohibit', 0.5683163404464722)","('seedle_planting', 0.522352933883667)","('andor_aggressive', 0.5730528235435486)","('unique', 0.6263318061828613)","('channel', 0.605015754699707)","('native_blend', 0.48908913135528564)"
2,"('landscape', 0.5689879655838013)","('investigation_site', 0.5720547437667847)","('growth', 0.632233738899231)","('stunted_crop', 0.4921685755252838)","('sport', 0.5864798426628113)","('net_loss', 0.5637911558151245)","('heritage_andtraditional', 0.5589576959609985)","('exotic', 0.5270490050315857)","('bleach', 0.5385650396347046)","('historical_resource', 0.5480353832244873)","('human_occupancy', 0.5257641077041626)","('resources', 0.5036996603012085)","('route_mile', 0.6343359351158142)","('cross_shoofly', 0.5319569110870361)","('diversion_berm', 0.6109000444412231)","('microtopography', 0.6172856688499451)","('contouring', 0.6689571142196655)","('alleviate_compaction', 0.6571900844573975)","('cross', 0.5543217658996582)","('legislation', 0.5379706621170044)","('sp_mound', 0.5218973159790039)","('air_shovel', 0.5557177066802979)","('uncommon', 0.6261385679244995)","('flow', 0.5940337181091309)","('green_alder', 0.47787171602249146)"
3,"('long_wide', 0.562396228313446)","('unit_depth', 0.5619159936904907)","('compare', 0.5909360647201538)","('compaction_rutting', 0.4854481816291809)","('habitat', 0.5795711874961853)","('functionality', 0.5636541843414307)","('special_status', 0.5491558909416199)","('development_restriction', 0.5268369913101196)","('power_wash', 0.5296181440353394)","('risk', 0.541440486907959)","('potential', 0.4994828701019287)","('conservation', 0.4866746962070465)","('archaeological', 0.5443610548973083)","('road', 0.5150930285453796)","('silt_fence', 0.6055150032043457)","('course_fragment', 0.6073969602584839)","('minor', 0.6417183876037598)","('admixing', 0.6280903816223145)","('tributary_rainbow', 0.535446286201477)","('noxious', 0.5372177362442017)","('treatment_mound', 0.5161113739013672)","('spray', 0.5548001527786255)","('species_longer', 0.5589074492454529)","('instream', 0.5843849182128906)","('native', 0.4606142044067383)"
4,"('instability_fill', 0.5319260358810425)","('sampling', 0.5460654497146606)","('monitor', 0.5741772651672363)","('open', 0.48183971643447876)","('rear', 0.5727644562721252)","('successfully_emerge', 0.562678873538971)","('legend_rev', 0.536561131477356)","('common_name', 0.5252671241760254)","('equipment', 0.5269476175308228)","('wildlife', 0.5299111008644104)","('wildlife', 0.4984418451786041)","('important_bird', 0.4820966124534607)","('human_occupancy', 0.5185187458992004)","('facility_city', 0.5020877718925476)","('andor_esc', 0.5942724347114563)","('woody_debris', 0.6010246276855469)","('rill', 0.6196597814559937)","('severe', 0.6265006065368652)","('bank_approach', 0.5120179653167725)","('undesirable_specie', 0.5325031280517578)","('specie', 0.5059322714805603)","('control', 0.5521208047866821)","('colonial', 0.5417243242263794)","('flume', 0.537161111831665)","('marked', 0.4604094624519348)"
5,"('methodology_preliminary', 0.5074799060821533)","('break_level', 0.5370122194290161)","('wetland', 0.5591549277305603)","('flow', 0.4749499559402466)","('northern_pike', 0.5630635619163513)","('row', 0.5596531629562378)","('air_quality', 0.5299110412597656)","('vascular_plant', 0.5224366188049316)","('cleaning_station', 0.5237974524497986)","('therefore', 0.5271999835968018)","('noise', 0.4914228618144989)","('culture', 0.48128390312194824)","('manitoba_dept', 0.5025876760482788)","('rollback', 0.501682460308075)","('slope', 0.5874793529510498)","('cf_consistency', 0.5878311395645142)","('issue', 0.5896567702293396)","('plant_vigor', 0.6259067058563232)","('wc_wc', 0.5094465613365173)","('competitive', 0.5307125449180603)","('species', 0.49130281805992126)","('seed_catch', 0.5335991382598877)","('migration_stop', 0.5390224456787109)","('pipe_installation', 0.5353858470916748)","('emergent_submergent', 0.45369017124176025)"
6,"('productivity', 0.5001589059829712)","('saobo', 0.5368348956108093)","('particularly_trench', 0.55906081199646)","('stunt_crop', 0.4736865758895874)","('fish_bear', 0.5539813041687012)","('vegetation', 0.5591549277305603)","('westland_resource', 0.5169782638549805)","('salix_sp', 0.5137377977371216)","('proceed', 0.5131487846374512)","('potential', 0.5231484174728394)","('risk', 0.48073965311050415)","('permit', 0.4751017689704895)","('ig_iv', 0.4971044957637787)","('line_sight', 0.4872392416000366)","('contouring', 0.5751134157180786)","('landscape', 0.582546591758728)","('ponding', 0.5884050726890564)","('physical_resistance', 0.6225023865699768)","('footprint_avoidance', 0.482666552066803)","('infestation', 0.5138602256774902)","('narrow_workspace', 0.47945210337638855)","('common_ragweed', 0.5263513922691345)","('potential_threat', 0.5293562412261963)","('upstream', 0.5344407558441162)","('nonfish_bearing', 0.45022881031036377)"
7,"('course_fragment', 0.4997280538082123)","('phase', 0.5332736372947693)","('seedling_present', 0.5580681562423706)","('pouch', 0.46913644671440125)","('fisheries', 0.5530012249946594)","('diversity_maintain', 0.5239275693893433)","('historical_resource', 0.5058441162109375)","('native', 0.5133986473083496)","('compress_air', 0.4791440963745117)","('part', 0.5081768035888672)","('therefore', 0.4731234014034271)","('saskatchewan_ministry', 0.47299355268478394)","('conflict', 0.4936954379081726)","('prior', 0.4790699779987335)","('slump', 0.5724219083786011)","('visual_evaluation', 0.5577878952026367)","('rut', 0.5854549407958984)","('warrant_alleviate', 0.6139497756958008)","('facility_city', 0.48186254501342773)","('herbaceous', 0.5134176015853882)","('seedle', 0.4781109094619751)","('subsidence', 0.5246188640594482)","('sna_exotic', 0.5293084383010864)","('bed', 0.521062433719635)","('contain_emergent', 0.4452648162841797)"
8,"('nolf_nolf', 0.4896129071712494)","('depth', 0.514612078666687)","('establish', 0.5543161034584045)","('ponding', 0.4612038731575012)","('isolation', 0.5474501848220825)","('substrate', 0.5127619504928589)","('acoustic_environment', 0.49844178557395935)","('bromus', 0.5102014541625977)","('cleaning', 0.47181862592697144)","('human_occupancy', 0.5010297298431396)","('part', 0.46759194135665894)","('archaeological', 0.47279322147369385)","('farm_rehabilitation', 0.4906633794307709)","('facility_eh', 0.45643937587738037)","('straw_wattle', 0.5691648721694946)","('stoniness', 0.5508105754852295)","('ponde', 0.5770006775856018)","('reduced_crop', 0.5897433757781982)","('epi_cromer', 0.48141175508499146)","('weed', 0.5070699453353882)","('late_seral', 0.4739024043083191)","('common_burdock', 0.5227004289627075)","('type_nesting', 0.5242129564285278)","('riprap', 0.519183337688446)","('fish_bearing', 0.44030678272247314)"
9,"('quality_quantity', 0.47535932064056396)","('topography_class', 0.5072546005249023)","('yet_establish', 0.5498815774917603)","('surface', 0.4584959149360657)","('riffle_pool', 0.5416483283042908)","('via_uniform', 0.5107005834579468)","('topsoil_salvageproc', 0.49640002846717834)","('become', 0.5098020434379578)","('station', 0.4665634036064148)","('habitat', 0.4966401755809784)","('heritage_resource', 0.4631918668746948)","('saskatchewan', 0.46697479486465454)","('exist', 0.4903217852115631)","('highwayuv_road', 0.4560951888561249)","('rilling', 0.5673254728317261)","('debris', 0.5419366359710693)","('ponde_water', 0.5681363344192505)","('bulk_density', 0.5815482139587402)","('main_humber', 0.4777008593082428)","('species', 0.5039197206497192)","('tkrs', 0.4647175669670105)","('prohibit_noxious', 0.520280659198761)","('occurrence', 0.5199145078659058)","('floodplain_channel', 0.5166705846786499)","('bank', 0.43587520718574524)"
